Month,n_hours,CBI_Normal_model,CBI_Extreme_model,Delta_CBI_Extreme_minus_Normal
4,2376,0.8338705458489595,0.8671594482642524,0.033288902415292865
8,2184,0.6270368758719764,0.6603257782872693,0.033288902415292865
9,1824,0.6136835228139726,0.6469724252292655,0.033288902415292865
