SPI_Status,n_hours,n_sites,n_days,mean_spi,min_spi,max_spi
Extreme,2952,20,32,-2.138682762781779,-2.785902738571167,-2.000265121459961
Normal,95264,27,297,0.013769311342968169,-0.4999594390392303,0.4999852180480957
Other,125776,27,340,-0.40066710354080487,-1.99524188041687,2.306872367858887
