SPI_Status,n_site_month_status_cbi,n_sites,n_site_months,source_sites_rule,n_source_extreme_sites,n_excluded_no_extreme_sites,median_CBI,mean_CBI,q25_CBI,q75_CBI,min_CBI,max_CBI,median_Delta_Extreme_minus_Normal
Normal,201,20,201,仅统计全年至少有1个Extreme小时的站点,20,7,0.6848105725930816,0.6954512095546688,0.5591778524114401,0.8162064555656877,0.32999972463174526,1.2828481408005463,0.10105888516914863
Extreme,16,13,16,仅统计全年至少有1个Extreme小时的站点,20,7,0.7858694577622303,0.7283941635342761,0.5626087973611195,0.8636494387570719,0.3613920177025561,1.0865459811473344,0.10105888516914863
