Site_Month,Extreme,Normal,Other,Site_ID,YearMonth,Month,n_all_valid_hours,Macro_Mean_SiteMonth_AllValid,Macro_SD_SiteMonth_AllValid,Macro_Mean_SiteMonth_ExtremeNormalOnly,Macro_Mean_Diff_ExtremeNormal_minus_AllValid
95332235_2025-09,0,576,144,95332235,2025-09,9,720,26.56074469089508,3.0593237781742864,26.789448529481888,0.22870383858680654
95332235_2025-10,0,480,264,95332235,2025-10,10,744,23.777504356958534,5.889574298239874,26.844762738545736,3.0672583815872017
95332235_2025-11,0,528,192,95332235,2025-11,11,720,15.369115334086947,5.373638548152542,16.218816286686696,0.8497009525997488
95332235_2025-12,0,528,208,95332235,2025-12,12,736,14.188506239134332,4.945932419393898,14.177614915551562,-0.01089132358277034
95332236_2025-02,0,48,624,95332236,2025-02,2,672,10.610389780628058,4.769855661795785,6.559354747335116,-4.0510350332929415
95332236_2025-03,0,72,672,95332236,2025-03,3,744,14.340088287348388,6.424374622462239,6.455202930503422,-7.884885356844967
95332236_2025-04,240,192,288,95332236,2025-04,4,720,18.926173539956412,4.609358201441337,18.162202643023598,-0.7639708969328147
95332236_2025-05,0,648,96,95332236,2025-05,5,744,21.257279611402943,3.2986304473088457,21.593733846405406,0.3364542350024635
95332236_2025-06,48,432,240,95332236,2025-06,6,720,24.61910228729248,2.6870779383014747,24.29296458562215,-0.32613770167032996
95332236_2025-07,0,168,576,95332236,2025-07,7,744,25.421538019693028,2.754628872496043,24.696776889619372,-0.7247611300736558
95332236_2025-08,0,216,528,95332236,2025-08,8,744,24.97667597698909,2.849631032092937,25.32826621444137,0.3515902374522817
95332236_2025-09,0,648,72,95332236,2025-09,9,720,25.083184048864577,2.8832676547008176,24.97125197045597,-0.11193207840860708
95332236_2025-10,0,264,480,95332236,2025-10,10,744,22.389089889423822,5.268857267269947,24.868094205856323,2.4790043164325013
