Site_ID,YearMonth,Month,Monthly_CBI,Monthly_Intercept,Monthly_R2,Monthly_n_hours,Monthly_CBI_flag,Extreme_Hours,Total_Hours,Extreme_Ratio,Is_Extreme_Month_0p30
95332217,2025-01,1,0.7133719077339795,3.1547849341590863,0.8304295391356996,288,ok,0,288,0.0,0
95332217,2025-02,2,0.6830816168392599,4.403340523667849,0.8288652529468654,672,ok,0,672,0.0,0
95332217,2025-03,3,0.7127053932127756,4.388122187241663,0.8884248057703726,744,ok,0,744,0.0,0
95332217,2025-04,4,0.75834642840214,3.84975321300435,0.824516118113543,720,ok,216,720,0.3,1
95332217,2025-05,5,0.5896357977089047,8.654275884367339,0.7279143915467894,744,ok,0,744,0.0,0
95332217,2025-06,6,0.4925057365362712,12.225281429521843,0.7551094387653412,720,ok,24,720,0.03333333333333333,0
95332217,2025-07,7,0.4211130975489914,14.307841257308294,0.7471319232490632,744,ok,0,744,0.0,0
95332217,2025-08,8,0.5023521614551573,12.220200641143466,0.7445344839354836,744,ok,0,744,0.0,0
95332217,2025-09,9,0.46919056092885847,13.028426949431868,0.7421373394189735,720,ok,0,720,0.0,0
95332217,2025-10,10,0.6055846691849444,8.739711862408988,0.9042155333378271,744,ok,0,744,0.0,0
95332217,2025-11,11,0.7848103938570733,3.4348064748914346,0.7960871696937605,720,ok,0,720,0.0,0
95332217,2025-12,12,0.6318355418295262,4.519694702028767,0.7867847864566796,736,ok,0,736,0.0,0
95332218,2025-01,1,0.7064643497868106,2.1910414373201075,0.8293481923086274,288,ok,0,288,0.0,0
95332218,2025-02,2,0.7879477293892805,1.899090166649188,0.8717732823165424,672,ok,0,672,0.0,0
95332218,2025-03,3,0.8624405286084409,1.3529309305314072,0.9158253540008807,744,ok,0,744,0.0,0
95332218,2025-04,4,0.7891152101805352,2.572009955304333,0.8586023336197117,720,ok,24,720,0.03333333333333333,0
95332218,2025-05,5,0.6228456291875663,7.003845381552853,0.7319235839621174,744,ok,0,744,0.0,0
95332218,2025-06,6,0.48564052308939504,11.249888753053266,0.7706531529882102,720,ok,0,720,0.0,0
95332218,2025-07,7,0.46262316339592,12.264754685830665,0.7288817495559696,744,ok,0,744,0.0,0
95332218,2025-08,8,0.48584159213479733,11.343433691779051,0.6605155266621116,744,ok,0,744,0.0,0
95332218,2025-09,9,0.47062618683421975,11.72590224290109,0.7761760192778673,720,ok,0,720,0.0,0
95332218,2025-10,10,0.6353710304318746,6.636064234607256,0.8568436717860864,744,ok,0,744,0.0,0
95332218,2025-11,11,0.7793569581149858,1.7508091912041177,0.8315467228197306,720,ok,0,720,0.0,0
95332218,2025-12,12,0.6400074822606946,3.335845026920442,0.8243396522154187,736,ok,0,736,0.0,0
95332219,2025-01,1,0.8937898939541438,2.4811748386647547,0.8871299223062226,288,ok,0,288,0.0,0
95332219,2025-02,2,0.8662749303574201,2.282733127930795,0.8770358216210989,672,ok,0,672,0.0,0
95332219,2025-03,3,0.9858426755384659,1.3216200001811664,0.9147667085848913,744,ok,0,744,0.0,0
95332219,2025-04,4,0.9371680948983272,1.2505514906843338,0.8331643680629157,720,ok,48,720,0.06666666666666667,0
95332219,2025-05,5,0.7936229268276831,4.393755468361583,0.7810011551605247,744,ok,0,744,0.0,0
95332219,2025-06,6,0.7091921238591933,6.930252001540861,0.7781658298986113,720,ok,48,720,0.06666666666666667,0
95332219,2025-07,7,0.6462126610341816,8.542803501925409,0.8175352530270222,744,ok,0,744,0.0,0
95332219,2025-08,8,0.7826663735172321,5.34189695362598,0.7405412464649587,744,ok,0,744,0.0,0
95332219,2025-09,9,0.8305569014536446,4.373325272264111,0.8114916653828875,720,ok,0,720,0.0,0
95332219,2025-10,10,0.8473849055312964,3.681209167683029,0.911756601863877,744,ok,0,744,0.0,0
95332219,2025-11,11,0.8848639367190954,2.661481635029391,0.8583223631091293,720,ok,0,720,0.0,0
95332219,2025-12,12,0.9764270182722176,1.1180790039844268,0.7784489797295365,736,ok,0,736,0.0,0
95332220,2025-01,1,0.7686789712948635,1.0464213438042425,0.8486487320100995,288,ok,0,288,0.0,0
95332220,2025-02,2,0.8221195060444983,0.7931853053201756,0.890738561045792,672,ok,24,672,0.03571428571428571,0
95332220,2025-03,3,0.8732676497498357,0.9548216297235346,0.939025448349704,744,ok,0,744,0.0,0
95332220,2025-04,4,0.8663306886724872,1.1283329407880949,0.8644384767884599,720,ok,168,720,0.23333333333333334,0
95332220,2025-05,5,0.7530668899668859,4.5565257611050285,0.8067171747853018,744,ok,0,744,0.0,0
95332220,2025-06,6,0.6518808015740137,7.547373381578211,0.7755242228938078,720,ok,0,720,0.0,0
95332220,2025-07,7,0.6433891031162714,8.484243680989366,0.8045423218363652,744,ok,0,744,0.0,0
95332220,2025-08,8,0.568479384782701,9.76773250752709,0.7240841849163999,744,ok,0,744,0.0,0
95332220,2025-09,9,0.48684841531244366,11.678868550852384,0.7753140145256652,720,ok,0,720,0.0,0
95332220,2025-10,10,0.7099520993644499,4.439294618936465,0.886682552595691,744,ok,0,744,0.0,0
95332220,2025-11,11,0.774539246023338,1.3867036774787351,0.7767251445189399,720,ok,0,720,0.0,0
95332220,2025-12,12,0.6702434891659831,2.068742151289598,0.8078715879097311,736,ok,0,736,0.0,0
95332221,2025-01,1,0.6917815192102232,1.6873788423610412,0.8137969124721472,288,ok,0,288,0.0,0
95332221,2025-02,2,0.7016515486763898,2.603819876561955,0.8181493019534667,672,ok,0,672,0.0,0
95332221,2025-03,3,0.7106183246445344,3.1320127910369777,0.9209812698919034,744,ok,0,744,0.0,0
95332221,2025-04,4,0.7542889601444591,2.9123624624972084,0.8438642249226742,720,ok,0,720,0.0,0
95332221,2025-05,5,0.6764115624302145,5.847426313195431,0.711962959768042,744,ok,0,744,0.0,0
95332221,2025-06,6,0.5899192785379979,8.862488313537227,0.8172164318573102,720,ok,0,720,0.0,0
95332221,2025-07,7,0.5022932728776981,12.145056213479931,0.7964162980073821,744,ok,0,744,0.0,0
95332221,2025-08,8,0.5815786577818033,9.460326032682378,0.773523073267301,744,ok,72,744,0.0967741935483871,0
95332221,2025-09,9,0.5230342366370232,11.02093474775872,0.7921265049746713,720,ok,0,720,0.0,0
95332221,2025-10,10,0.6599025217425071,6.49765417737542,0.9262410374352608,744,ok,0,744,0.0,0
95332221,2025-11,11,0.7702060073560958,2.164185062775566,0.7275282647378692,720,ok,0,720,0.0,0
95332221,2025-12,12,0.6448696049794819,2.8351423772321596,0.6955046079981585,736,ok,0,736,0.0,0
95332222,2025-01,1,0.964108017789022,0.7299340480594498,0.8305483774088519,288,ok,0,288,0.0,0
95332222,2025-02,2,0.8421162828240009,2.276988497697289,0.8093371152607287,672,ok,0,672,0.0,0
95332222,2025-03,3,0.9315006072519926,1.2684558476115164,0.9177591768355897,744,ok,0,744,0.0,0
95332222,2025-04,4,0.9560272292381223,0.3736803953682788,0.8815952299801041,720,ok,0,720,0.0,0
95332222,2025-05,5,0.926803329525561,1.4583143150441238,0.8251174882202066,744,ok,0,744,0.0,0
95332222,2025-06,6,0.8986944377129287,2.3831787948355547,0.7865020033953525,720,ok,0,720,0.0,0
95332222,2025-07,7,0.8392908038664618,4.547337689731908,0.8039429652300509,744,ok,0,744,0.0,0
95332222,2025-08,8,1.0204444553946685,-0.5184736128445806,0.7838525169179049,744,ok,0,744,0.0,0
95332222,2025-09,9,1.0431489318471554,-0.7159008555045752,0.8048227028283308,720,ok,0,720,0.0,0
95332222,2025-10,10,0.8888138108460444,3.219144260702727,0.891646619020355,744,ok,0,744,0.0,0
95332222,2025-11,11,1.0095750315303202,-0.02877647914029957,0.8535483279452553,720,ok,0,720,0.0,0
95332222,2025-12,12,0.9768378250788258,0.27284844033266253,0.832093936277056,736,ok,0,736,0.0,0
95332223,2025-01,1,0.7401689644519208,1.0262372485773312,0.7466054451829396,288,ok,0,288,0.0,0
95332223,2025-02,2,0.7233287629313544,1.6067828343610646,0.8274626780081726,672,ok,0,672,0.0,0
95332223,2025-03,3,0.7894601744585119,1.2540295578272094,0.945466260937209,744,ok,0,744,0.0,0
95332223,2025-04,4,0.843232255535464,1.0323292759643667,0.8820699156131492,720,ok,0,720,0.0,0
95332223,2025-05,5,0.7302371318661247,4.567074088591575,0.7897811996639539,744,ok,0,744,0.0,0
95332223,2025-06,6,0.6601875129559212,7.082277998275664,0.8453417006346231,720,ok,0,720,0.0,0
95332223,2025-07,7,0.5683994284502814,10.17057799879413,0.7660003396248898,744,ok,0,744,0.0,0
95332223,2025-08,8,0.6004949981374681,8.884139705060834,0.7478346913950314,744,ok,0,744,0.0,0
95332223,2025-09,9,0.5077283403688554,11.007981273122748,0.7962241641905395,720,ok,0,720,0.0,0
95332223,2025-10,10,0.690551606460567,5.058286503432301,0.9025118468034097,744,ok,0,744,0.0,0
