Site_ID,Event_ID,Start_Date,End_Date,Duration_Days,Severity,Min_Daily_SPI,Edge_Truncated,Event_CBI,Event_Intercept,Event_R2,Event_n_hours,Event_CBI_flag,Reference_Search_Start,Reference_Search_End,Reference_Target_Days,Reference_Available_Normal_Days,Reference_Qualified_Normal_Days,Reference_Selected_Normal_Days,Reference_Min_Valid_Hours_Per_Day,Reference_CBI,Reference_Intercept,Reference_R2,Reference_n_hours,Reference_CBI_flag,Delta_CBI_Event_minus_Reference,Pair_flag
95332217,3,2025-04-02,2025-04-19,18,28.20523184537888,-2.2451560497283936,False,0.7395714029292012,3.677502205918426,0.8216708250908737,432,ok,2025-04-21,2025-05-20,18,21,21,18,18,0.5549632330270037,9.054432782155516,0.7905193287317785,432,ok,0.18460816990219753,ok
95332217,4,2025-05-12,2025-07-08,58,63.29627174139023,-2.0193190574646,False,0.5730498209166532,9.790054102157846,0.8062683406228457,1392,ok,2025-07-10,2025-08-08,30,5,5,5,18,0.40498667969936974,14.54868665267956,0.7501364592977955,120,ok,0.1680631412172835,ok
95332218,4,2025-04-02,2025-04-23,22,28.846669495105743,-2.0132932662963867,False,0.801848689438064,2.3437249295864664,0.8588091528568137,528,ok,2025-04-25,2025-05-24,22,25,25,22,18,0.6181511943080942,6.434709644747384,0.7780460752495939,528,ok,0.1836974951299698,ok
95332219,5,2025-04-02,2025-04-23,22,32.18559658527374,-2.3179261684417725,False,0.9580270488065812,1.1051294922438508,0.8287753656934966,528,ok,2025-04-25,2025-05-24,22,26,26,22,18,0.8597936625513316,2.5581458226544314,0.7889944355349541,528,ok,0.09823338625524958,ok
95332219,7,2025-06-04,2025-07-10,37,41.840856432914734,-2.29106879234314,False,0.7150030465101354,6.829735050049969,0.81305924951331,888,ok,2025-07-12,2025-08-10,30,8,8,8,18,0.5719319602927121,10.315388859221303,0.8010994720103454,192,ok,0.14307108621742326,ok
95332220,3,2025-02-08,2025-03-02,23,27.87490612268448,-2.037058115005493,False,0.8437714784170636,0.7643303589733819,0.9063571647901536,552,ok,2025-03-04,2025-04-02,23,6,6,6,18,0.8694338214301319,0.712557979706407,0.9691107405290249,144,ok,-0.025662343013068356,ok
95332220,4,2025-04-02,2025-04-21,20,32.95291793346405,-2.0098748207092285,False,0.8644735133765484,1.1043579208144259,0.8581872749861066,480,ok,2025-04-23,2025-05-22,20,29,29,20,18,0.7001055956637864,4.964217110462505,0.8032982288629095,480,ok,0.16436791771276205,ok
95332221,7,2025-08-12,2025-09-09,29,38.69769525527954,-2.27681040763855,False,0.5753470684594817,9.471602629564876,0.797007810961001,696,ok,2025-09-11,2025-10-10,29,25,25,25,18,0.5523579817957966,10.089168053636659,0.7740918858776459,600,ok,0.022989086663685043,ok
95332225,7,2025-08-12,2025-09-23,43,59.29728865623474,-2.157047986984253,False,1.016864964352977,-0.22901299337921444,0.7549028089320998,1032,ok,2025-09-25,2025-10-24,30,21,21,21,18,0.9694508657350772,0.2708956410918937,0.8242363614185269,504,ok,0.0474140986178998,ok
95332226,5,2025-08-07,2025-09-18,43,59.23395770788193,-2.204885721206665,False,0.4348817339627502,12.69866826682354,0.6814936804534691,1032,ok,2025-09-20,2025-10-19,30,22,22,22,18,0.43026412692191296,12.65836641954979,0.7543248374257288,528,ok,0.004617607040837246,ok
95332227,6,2025-08-11,2025-09-23,44,67.75691944360733,-2.481644868850708,False,0.5236894012669755,10.421214319536876,0.7013278573815738,1056,ok,2025-09-25,2025-10-24,30,19,19,19,18,0.6607071912776324,6.2388990321470885,0.8834915372816352,456,ok,-0.13701779001065695,ok
95332228,6,2025-08-12,2025-09-12,32,57.857635140419006,-2.336613178253174,False,0.8183495111772902,4.364442325013208,0.791879963328582,768,ok,2025-09-14,2025-10-13,30,30,30,30,18,0.8817003381317174,2.530915601640494,0.8507402354511545,720,ok,-0.06335082695442729,ok
95332229,7,2025-08-12,2025-09-12,32,44.885386288166046,-2.1005795001983643,False,0.49729809530169516,11.38468595158352,0.7638709452242909,768,ok,2025-09-14,2025-10-13,30,26,26,26,18,0.3902269374276331,13.55643313153259,0.6508156298208956,624,ok,0.10707115787406207,ok
95332230,6,2025-08-12,2025-09-17,37,58.648909509181976,-2.39896559715271,False,0.8232401073192134,3.15622301836747,0.8290834937225036,888,ok,2025-09-19,2025-10-18,30,27,27,27,18,0.7080473409246435,5.4588518411964095,0.8350699502389429,648,ok,0.11519276639456988,ok
95332231,5,2025-08-11,2025-09-18,39,55.17359781265259,-2.299917221069336,False,0.4655998969410493,12.197885583591699,0.7341990341373944,936,ok,2025-09-20,2025-10-19,30,20,20,20,18,0.4213781248404654,12.679677642522963,0.7958930032592232,480,ok,0.04422177210058392,ok
95332233,6,2025-06-21,2025-07-11,21,26.46912014484405,-2.105762243270874,False,0.5918684389899925,9.377471357070968,0.8140602530515993,504,ok,2025-07-13,2025-08-11,21,12,12,12,18,0.5833059414365034,10.243227806235632,0.8316471841109033,288,ok,0.008562497553489146,ok
95332235,3,2025-02-08,2025-03-02,23,27.57739096879959,-2.107394218444824,False,0.8284572219437744,1.226698423389358,0.8822597359112005,552,ok,2025-03-04,2025-04-02,23,5,5,5,18,0.6355621909271961,3.2297876498199782,0.8830888723833061,120,ok,0.19289503101657823,ok
95332235,4,2025-04-02,2025-04-21,20,31.88193041086197,-2.4802095890045166,False,0.9201740513931488,-0.9137911179901614,0.8332949568333625,480,ok,2025-04-23,2025-05-22,20,29,29,20,18,0.6876368847446293,4.939207031173462,0.718668451392125,480,ok,0.23253716664851953,ok
95332236,4,2025-04-02,2025-04-23,22,34.75395089387894,-2.785902738571167,False,0.97598150589302,-0.10853738593385387,0.7541264521473576,528,ok,2025-04-25,2025-05-24,22,29,29,22,18,1.0987128307576457,-2.7173333081790894,0.7723220207305773,528,ok,-0.12273132486462568,ok
95332236,5,2025-06-19,2025-07-19,31,35.36875170469284,-2.224727153778076,False,1.3533926823339437,-9.104680951902274,0.760576070196791,744,ok,2025-07-21,2025-08-19,30,10,10,10,18,1.2645633931058209,-6.841364815120222,0.7780507642644877,240,ok,0.08882928922812283,ok
95332238,5,2025-06-21,2025-07-11,21,25.47362989187241,-2.096324920654297,False,0.6888805946080824,6.843773552886315,0.8360486861743675,504,ok,2025-07-13,2025-08-11,21,8,8,8,18,0.7267084365032388,6.5634668668727585,0.835343731518841,192,ok,-0.03782784189515642,ok
95332239,6,2025-06-21,2025-07-11,21,30.06326115131378,-2.132532119750977,False,0.498954296994656,11.452134069679685,0.7558339935100749,504,ok,2025-07-13,2025-08-11,21,16,16,16,18,0.5144665145211664,11.480699024502321,0.8051301918889275,384,ok,-0.015512217526510441,ok
