Site_ID,YearMonth,Month,SPI_Status,CBI,Intercept,R2,p_slope,n_hours,Macro_SD,Macro_Range,Macro_Min,Macro_Max,Micro_Mean,Macro_Mean,Site_Has_Extreme_In_Year,Pass_Min_Hours,Pass_Macro_SD,Pass_CBI_Filter,CBI_flag
95332217,2025-02,2,Normal,0.5493040466410258,6.389040500804072,0.6217413649885569,1.4817716294060924e-21,96,3.865178365047022,16.478149890899658,6.283914089202881,22.76206398010254,13.016276041666666,12.064785579840342,True,True,True,True,ok
95332217,2025-03,3,Normal,0.6638481839471456,5.012998940713395,0.9797469183701504,1.7154733603465506e-142,168,8.198576497617143,25.960907459259033,5.403771877288818,31.36467933654785,15.034970238095237,15.096781974747067,True,True,True,True,ok
95332217,2025-04,4,Extreme,0.7316531667362092,3.5884239623002987,0.7764295019202038,1.5064289330514679e-71,216,4.365451248368573,16.908706665039062,9.428232192993164,26.336938858032227,16.563078703703702,17.733340510615594,True,True,True,True,ok
95332217,2025-04,4,Normal,0.7359620624340122,5.075634693327261,0.8660911739729881,6.887771703129874e-127,288,4.49736574773683,24.252838611602787,5.967324733734131,30.220163345336918,19.722330729166668,19.901428053776424,True,True,True,True,ok
95332217,2025-05,5,Normal,0.5901143444884914,8.223284402733114,0.7245465380429449,2.5588066547381266e-75,264,3.5664912411564313,16.98651123046875,12.190500259399414,29.177011489868164,20.754261363636363,21.23482860218395,True,True,True,True,ok
95332217,2025-06,6,Extreme,,,,,24,3.185156563789243,9.713973999023438,21.02254676818848,30.736520767211918,25.294921875,25.24959882100423,True,False,True,False,insufficient_hours_lt_72
95332217,2025-07,7,Normal,0.4320125973453763,13.870947336200297,0.7425427498265845,1.118651884353347e-43,144,1.9093716735884416,9.114944458007812,20.30266761779785,29.417612075805664,24.02105034722222,23.494923697577583,True,True,True,True,ok
95332217,2025-08,8,Normal,0.47771358051374657,12.470811192459688,0.815322915626269,3.464083333236177e-142,384,3.1561727585867483,12.460998535156246,19.09896278381348,31.559961318969727,24.2008056640625,24.554450511932373,True,True,True,True,ok
95332217,2025-09,9,Normal,0.4886955711752537,12.57783049914937,0.7318277612481554,1.7871972521050515e-97,336,2.6704646585175005,11.032577514648438,20.015878677368164,31.0484561920166,24.431640625,24.25602118174235,True,True,True,True,ok
95332217,2025-10,10,Normal,0.5355337579639483,9.307350717754815,0.7131465221510901,2.4609654193400377e-40,144,2.69434066793265,10.960098266601564,14.311319351196287,25.27141761779785,19.537977430555557,19.103607495625813,True,True,True,True,ok
95332217,2025-11,11,Normal,0.7896376378146994,3.0165900618059407,0.8352076757019907,1.0262103896317227e-245,624,5.073895340694954,23.242065906524658,4.093316555023193,27.33538246154785,14.948091947115385,15.11009773841271,True,True,True,True,ok
95332217,2025-12,12,Normal,0.6352575575931881,4.414711557527655,0.7987093533509876,9.047734735279867e-244,696,4.4485356152434194,21.891693592071533,2.1325316429138184,24.02422523498535,12.774806932471265,13.160166730825928,True,True,True,True,ok
95332218,2025-02,2,Normal,0.8586639948269097,1.5587140380075377,0.8186211659324587,1.1762594164012272e-27,72,3.025705108585567,12.357407093048096,4.314080715179443,16.67148780822754,9.336588541666666,9.058111846446991,True,True,True,True,ok
95332218,2025-03,3,Normal,0.8768887332968681,1.0080567451644367,0.9697414507889885,5.107586950142902e-128,168,7.3771041914114335,23.309509754180908,6.516107082366943,29.82561683654785,14.554036458333334,15.447774841671897,True,True,True,True,ok
95332218,2025-04,4,Extreme,,,,,24,5.05561169664194,14.04316759109497,7.710427761077881,21.75359535217285,12.989583333333334,14.454463938872019,True,False,True,False,insufficient_hours_lt_72
95332218,2025-04,4,Normal,0.7476767591757293,3.307616776467725,0.8604065637799171,3.6012108616369814e-83,192,4.3796185055663,21.15827989578247,5.428262233734131,26.5865421295166,17.418538411458332,18.873024287323158,True,True,True,True,ok
95332218,2025-05,5,Normal,0.6176476951324301,6.911552176336425,0.7376456548148431,5.7292229747458176e-148,504,3.5527610758016928,16.62652587890625,12.473703384399414,29.100229263305664,20.282831101190474,21.648715004088388,True,True,True,True,ok
95332218,2025-06,6,Normal,0.5008989202236368,10.761806423036928,0.6973751274549901,5.867268482073725e-70,264,2.1573621589486756,9.513748168945312,20.031030654907227,29.54477882385254,22.461410984848484,23.357216574928977,True,True,True,True,ok
95332218,2025-07,7,Normal,0.5561976556277776,9.99709353713091,0.6533465076724888,1.7719837000189645e-34,144,1.7675970195806183,7.863723754882816,20.22638893127441,28.090112686157227,22.963758680555557,23.313052495320637,True,True,True,True,ok
95332218,2025-08,8,Normal,0.5218871300635601,10.216464470775662,0.709998454125388,8.598821972328703e-92,336,3.114549643723241,12.679868698120114,19.67708778381348,32.356956481933594,22.975446428571427,24.447780416125344,True,True,True,True,ok
95332218,2025-09,9,Normal,0.48860470231901754,11.468867494052708,0.7918203436879097,3.03897300926345e-132,384,2.766045201664253,11.29901123046875,20.25530433654785,31.5543155670166,23.506022135416668,24.635773221651714,True,True,True,True,ok
95332218,2025-10,10,Normal,0.6079033768080576,6.763203511757657,0.8174196875177888,2.218400568785591e-125,336,3.8193774903337845,17.349807739257812,13.67991065979004,31.02971839904785,19.096912202380953,20.288929394313268,True,True,True,True,ok
95332218,2025-11,11,Normal,0.7522190311666214,1.8619562378097498,0.7825981412202109,1.9700566093975926e-176,528,4.55841187336748,19.823456287384033,5.283257961273193,25.106714248657227,13.09375,14.931546925595313,True,True,True,True,ok
95332218,2025-12,12,Normal,0.6400074822606946,3.335845026920442,0.8243396522154187,2.023146392048678e-279,736,4.480368821522425,22.38195848464966,3.1872191429138184,25.56917762756348,12.380519701086957,14.132138959091643,True,True,True,True,ok
95332219,2025-02,2,Normal,0.8263981335247257,2.8203003567917833,0.7280685369323394,3.6792504539419893e-35,120,3.7345844268134614,16.200806140899658,6.006570339202881,22.20737648010254,12.586848958333333,11.81821231842041,True,True,True,True,ok
