Macro_Within,SPI_Status,Predicted_Micro_Temperature
-10.166594694965417,Normal,15.56657905227185
-9.988700896901912,Normal,15.69114048193314
-9.810807098838408,Normal,15.815701911594427
-9.632913300774904,Normal,15.940263341255719
-9.4550195027114,Normal,16.064824770917006
-9.277125704647895,Normal,16.189386200578294
-9.099231906584393,Normal,16.313947630239582
-8.921338108520889,Normal,16.438509059900873
-8.743444310457384,Normal,16.56307048956216
-8.56555051239388,Normal,16.68763191922345
-8.387656714330376,Normal,16.81219334888474
-8.209762916266872,Normal,16.936754778546028
-8.031869118203367,Normal,17.061316208207316
-7.853975320139863,Normal,17.185877637868607
-7.676081522076359,Normal,17.310439067529895
-7.498187724012855,Normal,17.435000497191183
-7.3202939259493505,Normal,17.559561926852474
-7.142400127885846,Normal,17.684123356513762
-6.964506329822343,Normal,17.80868478617505
-6.786612531758839,Normal,17.933246215836338
-6.608718733695334,Normal,18.05780764549763
-6.430824935631831,Normal,18.182369075158917
-6.252931137568327,Normal,18.306930504820205
-6.0750373395048225,Normal,18.431491934481496
-5.897143541441318,Normal,18.556053364142784
-5.719249743377814,Normal,18.680614793804075
-5.54135594531431,Normal,18.805176223465367
-5.3634621472508055,Normal,18.92973765312665
-5.185568349187301,Normal,19.054299082787942
-5.007674551123798,Normal,19.178860512449226
-4.829780753060294,Normal,19.303421942110518
-4.651886954996789,Normal,19.427983371771806
-4.473993156933285,Normal,19.552544801433097
-4.296099358869781,Normal,19.677106231094385
-4.118205560806277,Normal,19.801667660755676
-3.9403117627427724,Normal,19.92622909041696
-3.762417964679269,Normal,20.05079052007825
-3.584524166615765,Normal,20.17535194973954
-3.4066303685522605,Normal,20.299913379400827
-3.2287365704887563,Normal,20.42447480906212
-3.050842772425252,Normal,20.54903623872341
-2.872948974361748,Normal,20.673597668384698
-2.6950551762982444,Normal,20.798159098045986
-2.51716137823474,Normal,20.922720527707273
-2.339267580171236,Normal,21.047281957368565
-2.1613737821077326,Normal,21.171843387029853
-1.9834799840442283,Normal,21.29640481669114
-1.805586185980724,Normal,21.420966246352428
-1.6276923879172198,Normal,21.54552767601372
-1.4497985898537156,Normal,21.670089105675007
-1.2719047917902113,Normal,21.794650535336295
-1.094010993726707,Normal,21.919211964997587
-0.9161171956632028,Normal,22.043773394658878
-0.7382233975996986,Normal,22.168334824320162
-0.5603295995361943,Normal,22.292896253981453
-0.3824358014726901,Normal,22.41745768364274
-0.20454200340918582,Normal,22.542019113304033
-0.026648205345681575,Normal,22.66658054296532
0.1512455927178209,Normal,22.79114197262661
0.32913939078132515,Normal,22.915703402287896
0.5070331888448294,Normal,23.040264831949187
0.6849269869083336,Normal,23.164826261610475
