Month,SPI_Status,n_hours,n_sites,n_site_months,mean_spi,mean_macro,mean_micro
4,Extreme,1104,5,5,-2.117244419844255,18.437703006509423,16.375268908514492
4,Normal,1272,5,5,-0.06859744317337589,19.736482472164827,18.295646619496857
8,Extreme,792,6,6,-2.162141207492713,27.551641420884565,25.7974273989899
8,Normal,1392,6,6,-0.01725795310279676,27.508631972060808,26.19420123922414
9,Extreme,504,5,5,-2.187195755186535,27.71056074187869,25.22113715277778
9,Normal,1320,5,5,-0.03026362497528846,26.515168263695458,24.821223958333334
