Drought_Class,n_hours,n_sites,n_dates,n_year_months,n_month_factor_levels,months_present,year_months_present,mean_spi,min_spi,max_spi
Normal,95264,27,297,12,12,"1,2,3,4,5,6,7,8,9,10,11,12","2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12",0.013769311342968169,-0.4999594390392303,0.4999852180480957
Mild,43000,27,256,12,12,"1,2,3,4,5,6,7,8,9,10,11,12","2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12",-0.7431878635162531,-0.9989879131317139,-0.5003818273544312
Moderate,31320,27,172,10,10,"1,2,3,4,5,6,7,8,9,12","2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-12",-1.212447083407435,-1.499098181724548,-1.000061631202698
Severe,9984,27,101,9,9,"1,2,4,5,6,7,8,9,12","2025-01,2025-02,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-12",-1.681502221295467,-1.99524188041687,-1.500379920005798
Extreme,2952,20,32,6,6,"2,4,6,7,8,9","2025-02,2025-04,2025-06,2025-07,2025-08,2025-09",-2.138682762781779,-2.785902738571167,-2.000265121459961
Other,41472,27,182,9,9,"3,4,5,6,7,8,9,10,11","2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11",0.8758857384737995,0.5007107853889465,2.306872367858887
