Drought_Class,Drought_Class_CN,Site_ID,site_rank_by_hours,n_hours,hour_share_within_class,cumulative_hour_share,n_site_months,site_month_share_within_class,n_months,months_present,mean_spi,macro_mean_hourly,class_hour_HHI,effective_n_sites_by_hours,top1_site_hour_share,top3_site_hour_share,top5_site_hour_share
Mild,轻度干旱,95332223,1,2008,0.061595092024539874,0.061595092024539874,8,0.050314465408805034,8,"2,4,5,6,7,8,9,12",-0.7319434358779178,17.623190655992683,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332225,2,1744,0.05349693251533742,0.1150920245398773,7,0.0440251572327044,7,"2,4,5,6,7,9,12",-0.7454154554310195,17.309683521273932,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332219,3,1728,0.05300613496932515,0.16809815950920245,7,0.0440251572327044,7,"2,4,5,7,8,9,11",-0.6832076592577828,16.721644160889642,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332234,4,1704,0.05226993865030675,0.2203680981595092,6,0.03773584905660377,6,"4,5,6,7,8,11",-0.6930919172058643,21.073918187282455,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332221,5,1648,0.0505521472392638,0.270920245398773,8,0.050314465408805034,8,"2,4,5,6,7,9,10,12",-0.741711076602195,16.70155655059656,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332218,6,1536,0.04711656441717792,0.31803680981595095,6,0.03773584905660377,6,"2,4,5,6,8,11",-0.6803989103063941,19.306020306345697,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332222,7,1384,0.04245398773006135,0.3604907975460123,7,0.0440251572327044,7,"4,5,6,7,8,9,12",-0.7868207248649156,21.425326346662004,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332237,8,1368,0.04196319018404908,0.4024539877300614,7,0.0440251572327044,7,"4,5,6,7,8,9,11",-0.6448079567206534,19.728011675745424,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332244,9,1360,0.04171779141104295,0.44417177914110434,6,0.03773584905660377,6,"4,5,6,8,9,12",-0.7319856825996848,20.10893049231347,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332229,10,1336,0.040981595092024536,0.4851533742331289,5,0.031446540880503145,5,"2,4,6,8,12",-0.7624554195089969,12.25824046064263,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332230,11,1288,0.03950920245398773,0.5246625766871166,5,0.031446540880503145,5,"2,6,7,9,12",-0.7699003401009933,16.9564361412726,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332235,12,1264,0.038773006134969326,0.563435582822086,8,0.050314465408805034,8,"4,5,6,7,8,9,11,12",-0.6842136160482334,22.45959731295139,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332228,13,1192,0.03656441717791411,0.6000000000000001,5,0.031446540880503145,5,"2,4,6,7,12",-0.7770565016157676,12.95513142266306,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332226,14,1168,0.035828220858895705,0.6358282208588958,5,0.031446540880503145,5,"4,6,8,9,12",-0.7128599518782472,19.51016047592466,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332243,15,1168,0.035828220858895705,0.6716564417177915,6,0.03773584905660377,6,"4,6,7,8,9,12",-0.7661142141035159,19.82050138735372,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332232,16,1080,0.033128834355828224,0.7047852760736197,6,0.03773584905660377,6,"5,6,7,8,9,11",-0.6960695968733893,21.994313202963934,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332224,17,1048,0.03214723926380368,0.7369325153374234,7,0.0440251572327044,7,"4,5,6,7,8,9,12",-0.7711471969844731,20.355936203749124,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332217,18,1008,0.030920245398773007,0.7678527607361965,4,0.025157232704402517,4,"2,4,5,9",-0.778760457322711,17.70830212651737,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332227,19,976,0.029938650306748468,0.7977914110429449,5,0.031446540880503145,5,"4,6,7,9,12",-0.8239905682743572,21.575334174527985,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332242,20,976,0.029938650306748468,0.8277300613496934,5,0.031446540880503145,5,"4,6,8,9,12",-0.7242917907042582,18.572518853936344,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332239,21,952,0.02920245398773006,0.8569325153374234,6,0.03773584905660377,6,"4,5,7,8,9,12",-0.7095181421071541,16.623529850810517,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332220,22,936,0.028711656441717793,0.8856441717791412,5,0.031446540880503145,5,"4,5,7,8,9",-0.6825874631221478,24.512050037710075,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332233,23,840,0.025766871165644172,0.9114110429447854,5,0.031446540880503145,5,"5,7,8,9,11",-0.7445013233593532,21.06348835116341,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
Mild,轻度干旱,95332240,24,832,0.025521472392638037,0.9369325153374234,6,0.03773584905660377,6,"4,5,7,8,9,12",-0.8007312566041946,22.175668406945007,0.04012598140690277,24.921508831382067,0.061595092024539874,0.16809815950920245,0.270920245398773
