Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Distance_to_Grid_km,Extraction_Method,Annual_Min_SPI,Annual_Max_SPI,Drought_Days,Total_Severity,First_Onset,Event_Count_Total,Event_Count_Light,Event_Count_Moderate,Event_Count_Severe,Event_Count_Extreme,Max_Event_Duration,Max_Event_Severity,Worst_Event_Min_SPI,Worst_Event_Level
95332217.0,117.63227,25.27501,117.625,25.274993896484375,0.731,Nearest,-2.2451560497283936,2.218496084213257,144,161.3105298280716,2025-01-01,5,1,1,1,2,58,63.29627174139023,-2.2451560497283936,Extreme
95332217.0,117.63227,25.27501,117.625,25.274993896484375,0.731,Bilinear,-2.312041561154838,2.2447539631589595,145,161.665653282283,2025-01-01,5,1,1,1,2,58,63.02306596635544,-2.312041561154838,Extreme
95332217.0,117.63227,25.27501,117.625,25.274993896484375,0.731,Mean3x3,-2.0864598751068115,2.3321629895104303,139,149.08915464911198,2025-01-01,7,2,1,2,2,36,40.84783617655435,-2.0864598751068115,Extreme
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Nearest,-2.0132932662963867,2.085991144180298,126,115.40451407432556,2025-01-01,7,3,2,1,1,22,28.846669495105743,-2.0132932662963867,Extreme
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Bilinear,-1.9999630651050964,2.0822159524226715,119,111.06005429885931,2025-01-01,7,2,3,2,0,22,29.345809774033356,-1.9999630651050964,Severe
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Mean3x3,-2.08873803085751,2.11959261364407,125,117.35906616452202,2025-01-01,8,1,5,1,1,20,27.875628608576434,-2.08873803085751,Extreme
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Nearest,-2.3179261684417725,1.9981226921081543,158,149.30943542718887,2025-01-01,10,5,3,0,2,37,41.840856432914734,-2.3179261684417725,Extreme
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Bilinear,-2.204673867540495,1.9898697621906367,157,148.5993715241691,2025-01-01,8,3,3,0,2,36,40.12930720486393,-2.204673867540495,Extreme
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,2.7071,Mean3x3,-2.1667797697914972,1.9776917828453913,153,142.51042622493372,2025-01-01,8,2,4,0,2,23,31.3275326622857,-2.1667797697914972,Extreme
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Nearest,-2.037058115005493,1.904442310333252,117,124.15890747308731,2025-01-01,7,2,2,1,2,23,32.95291793346405,-2.037058115005493,Extreme
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Bilinear,-2.0098748207092285,1.9025636508793893,119,119.3604294919479,2025-01-01,8,3,2,2,1,23,28.319966166962796,-2.0098748207092285,Extreme
95332220.0,116.11679,25.25292,116.125,25.274993896484375,2.5896,Mean3x3,-2.0098748207092285,1.878740734524197,110,116.03846639105015,2025-01-01,7,1,3,2,1,23,31.446664666550028,-2.0098748207092285,Extreme
95332221.0,117.3608625,26.78347812,117.375,26.774993896484375,1.691,Nearest,-2.27681040763855,1.455301284790039,156,163.00107735395432,2025-01-01,8,2,2,3,1,36,43.218191266059875,-2.27681040763855,Extreme
95332221.0,117.3608625,26.78347812,117.375,26.774993896484375,1.691,Bilinear,-2.242719055700825,1.4519066586372944,156,162.6908024330348,2025-01-01,10,4,2,3,1,36,45.439202845570215,-2.242719055700825,Extreme
95332221.0,117.3608625,26.78347812,117.375,26.774993896484375,1.691,Mean3x3,-2.2256006399790444,1.482745091120402,153,159.01485017935437,2025-01-01,9,3,3,2,1,36,44.14965742164187,-2.2256006399790444,Extreme
95332222.0,117.5481259,26.79229729,117.52499389648438,26.774993896484375,2.9958,Nearest,-1.7992414236068726,1.4918079376220703,160,160.3399128317833,2025-01-01,8,3,1,4,0,36,39.54259365797043,-1.7992414236068726,Severe
95332222.0,117.5481259,26.79229729,117.52499389648438,26.774993896484375,2.9958,Bilinear,-1.8196312018785257,1.3498364951834274,157,159.9863602040428,2025-01-01,8,3,1,4,0,36,39.89459009390392,-1.8196312018785257,Severe
95332222.0,117.5481259,26.79229729,117.52499389648438,26.774993896484375,2.9958,Mean3x3,-1.86259130636851,1.3185508648554485,152,152.38747794429463,2025-01-01,8,3,1,4,0,36,40.54641420973672,-1.86259130636851,Severe
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,2.4827,Nearest,-1.743588924407959,1.4230356216430664,156,150.01052743196487,2025-01-01,9,3,2,4,0,36,41.27206212282181,-1.743588924407959,Severe
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,2.4827,Bilinear,-1.6623130371954988,1.41294759194274,152,144.8862074700773,2025-01-01,9,3,2,4,0,36,41.1408079044844,-1.6623130371954988,Severe
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,2.4827,Mean3x3,-1.6593087646696303,1.3705070813496907,153,148.85710539420447,2025-01-01,9,2,3,4,0,36,40.95451757642957,-1.6593087646696303,Severe
95332224.0,117.4623274,26.53346358,117.47500610351562,26.524993896484375,1.5742,Nearest,-1.565237283706665,1.242310881614685,146,146.77888351678848,2025-01-01,8,2,2,4,0,52,53.34167152643204,-1.565237283706665,Severe
95332224.0,117.4623274,26.53346358,117.47500610351562,26.524993896484375,1.5742,Bilinear,-1.584168453707409,1.2486702630926036,150,148.69522409945478,2025-01-01,8,2,2,4,0,52,53.46285272498278,-1.584168453707409,Severe
95332224.0,117.4623274,26.53346358,117.47500610351562,26.524993896484375,1.5742,Mean3x3,-1.629907978905572,1.2796144485473633,153,152.94328892230988,2025-01-01,8,1,3,4,0,52,52.922365748220024,-1.629907978905572,Severe
95332225.0,117.5158023,27.14893502,117.52499389648438,27.125,2.8126,Nearest,-2.157047986984253,1.3980841636657715,162,180.23346519470215,2025-01-01,8,3,3,1,1,43,59.29728865623474,-2.157047986984253,Extreme
95332225.0,117.5158023,27.14893502,117.52499389648438,27.125,2.8126,Bilinear,-2.080865071611225,1.3684074609411012,162,174.04103332846205,2025-01-01,7,2,3,1,1,37,49.89023083649604,-2.080865071611225,Extreme
95332225.0,117.5158023,27.14893502,117.52499389648438,27.125,2.8126,Mean3x3,-2.161770979563395,1.4072984457015991,156,171.75569061934948,2025-01-01,7,1,4,1,1,36,51.23347702291276,-2.161770979563395,Extreme
95332226.0,117.9129664,27.71936172,117.92498779296875,27.724998474121094,1.339,Nearest,-2.204885721206665,1.2080881595611572,193,216.63373363018036,2025-01-01,6,1,2,2,1,61,69.3838409781456,-2.204885721206665,Extreme
95332226.0,117.9129664,27.71936172,117.92498779296875,27.724998474121094,1.339,Bilinear,-2.154544532060302,1.13868486827168,191,212.76879396440137,2025-01-01,6,1,2,2,1,61,69.78996811091453,-2.154544532060302,Extreme
95332226.0,117.9129664,27.71936172,117.92498779296875,27.724998474121094,1.339,Mean3x3,-2.0605803728103638,1.1767038570510016,187,205.8522278269132,2025-01-01,6,1,3,1,1,61,68.81836320294275,-2.0605803728103638,Extreme
