Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Annual_Min_SPI,Annual_Max_SPI,Drought_Days,Total_Severity,First_Onset,Event_Count_Total,Event_Count_Light,Event_Count_Moderate,Event_Count_Severe,Event_Count_Extreme,Max_Event_Duration,Max_Event_Severity,Worst_Event_Min_SPI,Worst_Event_Level
95332217.0,117.63227,25.27501,117.625,25.274993896484375,-2.2451560497283936,2.218496084213257,144,161.3105298280716,2025-01-01,5,1,1,1,2,58,63.29627174139023,-2.2451560497283936,Extreme
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,-2.0132932662963867,2.085991144180298,126,115.40451407432556,2025-01-01,7,3,2,1,1,22,28.846669495105743,-2.0132932662963867,Extreme
95332219.0,117.0948,25.2415,117.07501220703125,25.224998474121094,-2.3179261684417725,1.9981226921081543,158,149.30943542718887,2025-01-01,10,5,3,0,2,37,41.840856432914734,-2.3179261684417725,Extreme
95332220.0,116.11679,25.25292,116.125,25.274993896484375,-2.037058115005493,1.904442310333252,117,124.15890747308731,2025-01-01,7,2,2,1,2,23,32.95291793346405,-2.037058115005493,Extreme
95332221.0,117.3608625,26.78347812,117.375,26.774993896484375,-2.27681040763855,1.455301284790039,156,163.00107735395432,2025-01-01,8,2,2,3,1,36,43.218191266059875,-2.27681040763855,Extreme
95332222.0,117.5481259,26.79229729,117.52499389648438,26.774993896484375,-1.7992414236068726,1.4918079376220703,160,160.3399128317833,2025-01-01,8,3,1,4,0,36,39.54259365797043,-1.7992414236068726,Severe
95332223.0,117.6007481,26.66962275,117.625,26.67499542236328,-1.743588924407959,1.4230356216430664,156,150.01052743196487,2025-01-01,9,3,2,4,0,36,41.27206212282181,-1.743588924407959,Severe
95332224.0,117.4623274,26.53346358,117.47500610351562,26.524993896484375,-1.565237283706665,1.242310881614685,146,146.77888351678848,2025-01-01,8,2,2,4,0,52,53.34167152643204,-1.565237283706665,Severe
95332225.0,117.5158023,27.14893502,117.52499389648438,27.125,-2.157047986984253,1.3980841636657715,162,180.23346519470215,2025-01-01,8,3,3,1,1,43,59.29728865623474,-2.157047986984253,Extreme
95332226.0,117.9129664,27.71936172,117.92498779296875,27.724998474121094,-2.204885721206665,1.2080881595611572,193,216.63373363018036,2025-01-01,6,1,2,2,1,61,69.3838409781456,-2.204885721206665,Extreme
95332227.0,117.7970728,27.56918588,117.77499389648438,27.574996948242188,-2.481644868850708,1.4216041564941406,181,216.65768855810165,2025-01-01,7,1,2,3,1,44,67.75691944360733,-2.481644868850708,Extreme
