Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Date,Daily_SPI_30d,Is_Drought_Day
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-01,-1.6222,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-02,-1.5015,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-03,-1.4531,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-04,-1.4667,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-05,-1.5994,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-06,-1.6815,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-07,-1.7092,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-08,-1.4166,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-09,-1.5529,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-10,-1.4577,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-11,-0.8998,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-12,-0.9055,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-13,-0.9258,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-14,-1.0282,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-15,-1.0232,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-16,-0.9808,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-17,-1.0064,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-18,-0.8758,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-19,-0.8781,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-20,-0.8708,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-21,-0.9361,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-22,-0.855,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-23,-0.8748,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-24,-1.1179,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-25,-1.5116,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-26,-1.6442,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-27,-1.6078,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-28,-1.6902,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-29,-1.7474,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-30,-1.679,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-01-31,-1.2607,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-01,-1.0953,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-02,-0.7616,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-03,-0.7858,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-04,-0.845,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-05,-0.9304,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-06,-0.466,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-07,-0.5939,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-08,-0.6794,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-09,-0.743,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-10,-1.1595,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-11,-1.0913,True
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-12,-0.4344,False
95332217.0,117.63227,25.27501,117.625,25.274993896484375,2025-02-13,-0.3838,False
