Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Distance_to_Grid_km,Extraction_Method,Event_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Max_SPI_Date,Severity,Drought_Level,Drought_Level_Code,Edge_Truncated
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Bilinear,1,2025-01-01,2025-01-09,9,-1.3398958326615196,-0.7331870902611564,2025-01-01,2025-01-05,8.501346737375542,Moderate,2,True
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Bilinear,2,2025-01-17,2025-02-05,20,-1.331179696539162,-0.5123430097365886,2025-01-26,2025-01-17,17.078142781392717,Moderate,2,False
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Bilinear,3,2025-02-15,2025-03-02,16,-0.9486669398975293,-0.6092068334399756,2025-02-19,2025-02-25,11.951007507727184,Light,1,False
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Bilinear,4,2025-04-02,2025-04-23,22,-1.9999630651050964,-0.6051433484029486,2025-04-02,2025-04-23,29.345809774033356,Severe,3,False
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Bilinear,5,2025-05-19,2025-05-28,10,-1.1770099622385444,-0.5809289906839847,2025-05-25,2025-05-23,8.708347630254252,Moderate,2,False
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Bilinear,6,2025-06-05,2025-06-13,9,-0.7373742557992727,-0.545488821016488,2025-06-10,2025-06-06,5.766494585781947,Light,1,False
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Bilinear,7,2025-06-22,2025-07-08,17,-1.7299676749146071,-0.5137488572015472,2025-06-28,2025-06-22,19.21943113856191,Severe,3,False
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Mean3x3,1,2025-01-01,2025-01-09,9,-1.3783806827333238,-0.717536985874176,2025-01-01,2025-01-05,8.522085309028625,Moderate,2,True
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Mean3x3,2,2025-01-17,2025-02-05,20,-1.3604746262232463,-0.5502308408419291,2025-01-29,2025-01-19,17.869763765070175,Moderate,2,False
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Mean3x3,3,2025-02-07,2025-02-12,6,-1.2022786670260959,-0.5448323686917623,2025-02-10,2025-02-07,4.9641734096739025,Moderate,2,False
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Mean3x3,4,2025-02-14,2025-03-02,17,-1.0165703097979228,-0.5173926187886132,2025-02-19,2025-02-14,13.240678578615189,Moderate,2,False
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Mean3x3,5,2025-04-02,2025-04-21,20,-2.08873803085751,-0.5595822045450203,2025-04-02,2025-04-20,27.875628608576434,Extreme,4,False
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Mean3x3,6,2025-05-15,2025-05-28,14,-1.2375649478700426,-0.5012786620193057,2025-05-25,2025-05-15,12.157911287413704,Moderate,2,False
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Mean3x3,7,2025-06-05,2025-06-14,10,-0.7925614648395114,-0.5523977279663086,2025-06-10,2025-06-14,7.041357371542189,Light,1,False
95332218.0,117.01007,24.96933,117.02499389648438,24.974998474121094,1.631,Mean3x3,8,2025-06-22,2025-07-08,17,-1.703691257370843,-0.5689975387520261,2025-06-28,2025-06-22,18.846622145838207,Severe,3,False
