lat,lon,magnitude,duration,severity,onset
24.074997,117.475006,-1.3319398,2,2.054454,202501
24.074997,117.524994,-1.3965927,2,2.139377,202501
24.074997,117.57501,-1.3657882,2,2.1012979,202501
24.074997,117.625,-1.3595953,2,2.1002002,202501
24.074997,117.67499,-1.3742206,2,2.1108878,202501
24.074997,117.725006,-1.3583652,2,2.1128016,202501
24.074997,117.774994,-1.4470174,2,2.2438378,202501
24.074997,117.82501,-1.4487584,2,2.2551162,202501
24.074997,117.875,-1.4384563,2,2.2484658,202501
24.125,116.975006,-0.82497627,1,0.82497627,202502
24.125,117.024994,-1.4835379,2,2.2237384,202501
24.125,117.07501,-1.4950415,2,2.2540836,202501
24.125,117.125,-1.5715631,2,2.3463688,202501
24.125,117.17499,-1.6104904,2,2.375825,202501
24.125,117.225006,-1.6039602,2,2.3712475,202501
24.125,117.274994,-1.5111265,2,2.233675,202501
24.125,117.32501,-1.4342245,2,2.1694286,202501
24.125,117.375,-1.4300222,2,2.1669834,202501
24.125,117.42499,-1.2979572,2,2.0114975,202501
24.125,117.475006,-1.2749842,2,2.0000172,202501
24.125,117.524994,-1.3567605,2,2.1038833,202501
24.125,117.57501,-1.3670672,2,2.1078222,202501
24.125,117.625,-1.3494796,2,2.098496,202501
24.125,117.67499,-1.3943673,2,2.1567326,202501
24.125,117.725006,-1.3761007,2,2.1387281,202501
24.125,117.774994,-1.4893465,2,2.284949,202501
24.125,117.82501,-1.4599226,2,2.2628396,202501
24.125,117.875,-1.4187604,2,2.2266972,202501
24.125,117.92499,-1.3819143,2,2.2052124,202501
24.174995,117.024994,-1.605175,2,2.3032918,202501
24.174995,117.07501,-1.6634091,2,2.380573,202501
24.174995,117.125,-1.6671282,2,2.4152818,202501
24.174995,117.17499,-1.7119247,2,2.4544075,202501
24.174995,117.225006,-1.7304945,2,2.47701,202501
24.174995,117.274994,-1.7053916,2,2.3963377,202501
24.174995,117.32501,-1.6530818,2,2.3546805,202501
24.174995,117.375,-1.5582045,2,2.261049,202501
24.174995,117.42499,-1.4440434,2,2.1321018,202501
24.174995,117.475006,-1.3501421,2,2.045577,202501
24.174995,117.524994,-1.4035985,2,2.111295,202501
24.174995,117.57501,-1.3804241,2,2.1115005,202501
24.174995,117.625,-1.3363538,2,2.0648055,202501
24.174995,117.67499,-1.3544317,2,2.0998526,202501
24.174995,117.725006,-1.3588282,2,2.1157897,202501
24.174995,117.774994,-1.4777431,2,2.250414,202501
24.174995,117.82501,-1.4776487,2,2.2724252,202501
24.174995,117.875,-1.4171358,2,2.213276,202501
24.174995,117.92499,-1.3787336,2,2.1733887,202501
24.174995,117.975006,-1.3971889,2,2.203606,202501
24.224998,116.975006,-0.7898814,1,0.7898814,202502
24.224998,117.024994,-1.6605246,2,2.341408,202501
24.224998,117.07501,-1.7552477,2,2.434816,202501
24.224998,117.125,-1.7468064,2,2.457865,202501
24.224998,117.17499,-1.7573568,2,2.4573145,202501
24.224998,117.225006,-1.7862654,2,2.5085633,202501
24.224998,117.274994,-1.7587147,2,2.4421585,202501
24.224998,117.32501,-1.6971232,2,2.3754733,202501
24.224998,117.375,-1.5998777,2,2.288633,202501
24.224998,117.42499,-1.482977,2,2.1759365,202501
24.224998,117.475006,-1.3449785,2,2.0365171,202501
24.224998,117.524994,-1.3625681,2,2.0674372,202501
24.224998,117.57501,-1.34494,2,2.0698528,202501
24.224998,117.625,-1.3417963,2,2.0612316,202501
24.224998,117.67499,-1.3412353,2,2.0570168,202501
24.224998,117.725006,-1.3667971,2,2.1152487,202501
24.224998,117.774994,-1.413981,2,2.1924462,202501
24.224998,117.82501,-1.4667476,2,2.2524226,202501
24.224998,117.875,-1.4166682,2,2.2148,202501
24.224998,117.92499,-1.3940482,2,2.170744,202501
24.224998,117.975006,-1.3898066,2,2.1916509,202501
24.224998,118.024994,-1.5127429,2,2.2747397,202501
24.274994,116.975006,-1.7186841,2,2.637692,202501
24.274994,117.024994,-1.006064,2,1.8861337,202501
24.274994,117.07501,-1.0852273,2,1.9268702,202501
24.274994,117.125,-1.0534178,2,1.902876,202501
24.274994,117.17499,-0.98053485,2,1.8489571,202501
24.274994,117.225006,-0.9918449,2,1.8674576,202501
24.274994,117.274994,-0.92177415,2,1.7244692,202501
24.274994,117.32501,-0.79113257,2,1.324079,202501
24.274994,117.375,-0.78426534,1,0.78426534,202502
24.274994,117.42499,-0.7872727,1,0.7872727,202502
24.274994,117.475006,-0.8011365,1,0.8011365,202502
24.274994,117.524994,-1.3504254,2,2.0987878,202501
24.274994,117.57501,-1.2755786,2,2.0687144,202501
24.274994,117.625,-1.2766439,2,2.0755026,202501
24.274994,117.67499,-1.3270779,2,2.1278896,202501
24.274994,117.725006,-1.2945913,2,2.1343045,202501
24.274994,117.774994,-1.4128196,2,2.225112,202501
24.274994,117.82501,-1.4288645,2,2.2634535,202501
24.274994,117.875,-1.4697528,2,2.299193,202501
