DroughtLevel,Layer,observed,predicted_cv,baseline_predicted_cv
Moderate,site,0.007216571428721217,0.05273413371894935,0.03381819121579984
Moderate,site,-0.004864807439186081,-0.014768420033026128,0.028277635482987958
Moderate,site,0.1486178080068572,-0.012391415625231298,0.028277635482987958
Moderate,site,0.11016823860957178,0.02327077206668428,0.016907169460765935
Moderate,site,0.07188580422425635,0.029152273312598308,0.0225927925809146
Moderate,site,-0.07078200082083742,0.03212849358238564,0.028277635482987958
Moderate,site,0.006965465757585157,0.031092958280099,0.016907169460765935
Moderate,site,-0.01776897926589419,0.03007264674006773,0.0225927925809146
Moderate,site,0.057194258880317074,-0.007899350328535318,0.0225927925809146
Moderate,site,0.0006042033026143897,0.006993959285875229,0.019319315771273778
Moderate,site,0.04213592002636167,0.0005925884539442409,0.016907169460765935
Moderate,site,0.06554641477194187,0.027894653294313666,0.03381819121579984
Moderate,site,0.06414768223670363,0.005290509083359416,0.016907169460765935
Moderate,site,0.1001657246845348,0.03965554845146495,0.0225927925809146
Moderate,site,-0.023917889000629165,0.015413790751891596,0.0225927925809146
Moderate,site,-0.02835074412859934,0.05090383689609446,0.028277635482987958
Moderate,site,-0.07964924034407153,0.004562045064714323,0.019319315771273778
Moderate,site,0.1758160911104696,0.02706128537655134,0.019319315771273778
Moderate,site,0.050688235235110526,0.010496848815946837,0.016907169460765935
Moderate,site,-0.010258670599459502,0.03060428553312752,0.0225927925809146
Moderate,site,-0.07933375818012535,0.039970131598004166,0.03381819121579984
Moderate,site,-0.02092481521868067,0.037467300973214754,0.03381819121579984
Moderate,site,-0.0394309369919396,0.01122652977820386,0.019319315771273778
Moderate,site,0.1661103522675953,-0.005062619904928456,0.019319315771273778
Moderate,site,-0.00929450021956415,0.03531306789642147,0.028277635482987958
Moderate,site,-0.05353032779223613,0.05755673697965936,0.03381819121579984
