DroughtLevel,Layer,feature,importance_mean,importance_std,rank_mean,rank_std
Extreme,site,slope,0.4323961852805063,0.006990325588166282,1.0,0.0
Extreme,site,soil_temperature,0.1631241425920636,0.020620862940027938,2.4,0.5477225575051662
Extreme,site,elevation,0.15511145371240365,0.03479170238220294,2.6,0.5477225575051662
Extreme,site,aspect_sin,0.05846184420251153,0.012512099811704766,4.6,0.8944271909999159
Extreme,site,soil_moisture,0.057475135371410045,0.02209408053949116,5.0,0.7071067811865475
Extreme,site,aspect_cos,0.04381249425474772,0.016773829984706726,5.6,1.1401754250991383
Extreme,site,SPI_intensity,0.029637758302805767,0.006828247155506072,7.0,0.7071067811865476
Extreme,site,canopy_height,0.020287031802753187,0.011433938007507588,8.6,1.1401754250991378
Extreme,site,Duration_days,0.015997714333264156,0.0034878988773419223,9.0,0.7071067811865476
Extreme,site,LAI,0.01363714996961348,0.004139281818867261,9.4,1.3416407864998738
Extreme,site,FAPAR,0.010059090177920574,0.0035834116165529297,10.8,0.44721359549995804
