Site_ID,YearMonth,DroughtLevel,DroughtLevel_CN,Target_CBI,Normal_CBI,DeltaCBI,Target_Intercept,Normal_Intercept,Target_R2,Normal_R2,Target_n_hours,Normal_n_hours,Target_Macro_SD,Normal_Macro_SD,Pass_Hours,Pass_Macro_SD,Pair_flag,MinDailySPI,SPI_intensity,DurationDays,EventStartDate,EventEndDate,N_events_in_site_month,LAI,FAPAR,soil_moisture,soil_temperature,Longitude,Latitude,elevation,slope,canopy_height,aspect_sin,aspect_cos,nighttime_light,built_up_distance
95332217,2025-01,Mild,轻度干旱,0.6368106792987135,,,3.395981786021146,,0.81958000890419,,96,0,4.574275495096237,,False,False,too_few_hours,-0.9360649585723877,0.9360649585723877,4,2025-01-20,2025-01-23,1,1.6,0.73,0.057602622,11.34781901,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-01,Moderate,中度干旱,,,,,,,,48,0,3.916915487751499,,False,False,too_few_hours,-1.260672926902771,1.260672926902771,2,2025-01-24,2025-01-31,2,1.7000000000000002,0.745,0.0632414385,12.521809895,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-01,Severe,重度干旱,0.7813585411633399,,,2.774682385593815,,0.8385047698140491,,144,0,4.9974930673609075,,False,False,too_few_hours,-1.747351288795471,1.747351288795471,6,2025-01-25,2025-01-30,1,1.8,0.7599999999999999,0.0637799335,11.760742186666667,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-01,Extreme,极端干旱,,,,,,,,0,0,,,False,False,too_few_hours,,,0,,,0,,,,,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-02,Mild,轻度干旱,0.7202931432995622,0.5493040466410258,0.17098909665853634,3.888835842361317,6.389040500804072,0.8757501009861466,0.6217413649885569,432,96,4.8754233262841105,3.865178365047022,True,True,ok,-0.9903508424758911,0.9903508424758911,18,2025-02-02,2025-02-28,4,1.1722222222222223,0.4844444444444444,0.11890715811111112,12.928457754,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-02,Moderate,中度干旱,0.5623714111920671,0.5493040466410258,0.013067364551041294,6.040885825862679,6.389040500804072,0.7100899964792877,0.6217413649885569,144,96,3.733824743860057,3.865178365047022,True,True,ok,-1.209383249282837,1.209383249282837,6,2025-02-01,2025-02-19,3,0.9833333333333333,0.465,0.11456949883333332,12.975151908666666,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-02,Severe,重度干旱,,0.5493040466410258,,,6.389040500804072,,0.6217413649885569,0,96,,3.865178365047022,False,False,too_few_hours,,,0,,,0,,,,,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-02,Extreme,极端干旱,,0.5493040466410258,,,6.389040500804072,,0.6217413649885569,0,96,,3.865178365047022,False,False,too_few_hours,,,0,,,0,,,,,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-03,Mild,轻度干旱,,0.6638481839471456,,,5.012998940713395,,0.9797469183701504,24,168,2.860119352236282,8.198576497617143,False,True,too_few_hours,-0.8640636801719666,0.8640636801719666,1,2025-03-01,2025-03-01,1,2.0,0.6900000000000001,0.090275267,15.85091146,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-03,Moderate,中度干旱,,0.6638481839471456,,,5.012998940713395,,0.9797469183701504,24,168,3.1183185697491935,8.198576497617143,False,True,too_few_hours,-1.023609519004822,1.023609519004822,1,2025-03-02,2025-03-02,1,2.0,0.6900000000000001,0.087817579,17.23697917,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-03,Severe,重度干旱,,0.6638481839471456,,,5.012998940713395,,0.9797469183701504,0,168,,8.198576497617143,False,False,too_few_hours,,,0,,,0,,,,,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-03,Extreme,极端干旱,,0.6638481839471456,,,5.012998940713395,,0.9797469183701504,0,168,,8.198576497617143,False,False,too_few_hours,,,0,,,0,,,,,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-04,Mild,轻度干旱,0.7266364432310662,0.7359620624340122,-0.009325619202945945,4.625923957649093,5.075634693327261,0.8769424997248251,0.8660911739729881,120,288,4.043172881269714,4.49736574773683,True,True,ok,-0.9660468697547913,0.9660468697547913,5,2025-04-15,2025-04-19,1,2.2,0.61,0.2373294394,17.762369794,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-04,Moderate,中度干旱,0.6606462177101006,0.7359620624340122,-0.07531584472391162,4.672383299457053,5.075634693327261,0.7689072028148161,0.8660911739729881,72,288,4.916215409728128,4.49736574773683,True,True,ok,-1.197887301445007,1.197887301445007,3,2025-04-12,2025-04-14,1,1.8999999999999997,0.65,0.26635763500000004,17.255859376666667,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-04,Severe,重度干旱,,0.7359620624340122,,,5.075634693327261,,0.8660911739729881,24,288,4.348760740733136,4.49736574773683,False,True,too_few_hours,-1.701288223266602,1.701288223266602,1,2025-04-07,2025-04-07,1,1.9,0.65,0.228107806,15.68098958,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
95332217,2025-04,Extreme,极端干旱,0.7316531667362092,0.7359620624340122,-0.004308895697803017,3.5884239623002987,5.075634693327261,0.7764295019202038,0.8660911739729881,216,288,4.365451248368573,4.49736574773683,True,True,ok,-2.245156049728394,2.245156049728394,9,2025-04-02,2025-04-11,2,1.788888888888889,0.6333333333333334,0.23399746944444447,15.535228588888888,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,
