Site_ID,YearMonth,DroughtLevel,Target_n_hours,Normal_n_hours,Target_flag,Normal_flag,Pair_flag
95332218,2025-12,Severe,0,736,too_few_hours,ok,too_few_hours
95332218,2025-12,Extreme,0,736,too_few_hours,ok,too_few_hours
95332219,2025-01,Mild,96,0,ok,too_few_hours,too_few_hours
95332219,2025-01,Moderate,192,0,ok,too_few_hours,too_few_hours
95332219,2025-01,Severe,0,0,too_few_hours,too_few_hours,too_few_hours
95332219,2025-01,Extreme,0,0,too_few_hours,too_few_hours,too_few_hours
95332219,2025-02,Mild,552,120,ok,ok,ok
95332219,2025-02,Moderate,0,120,too_few_hours,ok,too_few_hours
95332219,2025-02,Severe,0,120,too_few_hours,ok,too_few_hours
95332219,2025-02,Extreme,0,120,too_few_hours,ok,too_few_hours
95332219,2025-03,Mild,48,192,too_few_hours,ok,too_few_hours
95332219,2025-03,Moderate,0,192,too_few_hours,ok,too_few_hours
95332219,2025-03,Severe,0,192,too_few_hours,ok,too_few_hours
95332219,2025-03,Extreme,0,192,too_few_hours,ok,too_few_hours
95332219,2025-04,Mild,120,192,ok,ok,ok
95332219,2025-04,Moderate,168,192,ok,ok,ok
95332219,2025-04,Severe,192,192,ok,ok,ok
95332219,2025-04,Extreme,48,192,too_few_hours,ok,too_few_hours
95332219,2025-05,Mild,264,480,ok,ok,ok
95332219,2025-05,Moderate,0,480,too_few_hours,ok,too_few_hours
95332219,2025-05,Severe,0,480,too_few_hours,ok,too_few_hours
95332219,2025-05,Extreme,0,480,too_few_hours,ok,too_few_hours
95332219,2025-06,Mild,432,48,ok,too_few_hours,too_few_hours
95332219,2025-06,Moderate,144,48,ok,too_few_hours,too_few_hours
95332219,2025-06,Severe,48,48,too_few_hours,too_few_hours,too_few_hours
95332219,2025-06,Extreme,48,48,too_few_hours,too_few_hours,too_few_hours
95332219,2025-07,Mild,72,216,ok,ok,ok
95332219,2025-07,Moderate,48,216,too_few_hours,ok,too_few_hours
95332219,2025-07,Severe,144,216,ok,ok,ok
95332219,2025-07,Extreme,0,216,too_few_hours,ok,too_few_hours
95332219,2025-08,Mild,72,312,ok,ok,ok
95332219,2025-08,Moderate,48,312,too_few_hours,ok,too_few_hours
95332219,2025-08,Severe,0,312,too_few_hours,ok,too_few_hours
95332219,2025-08,Extreme,0,312,too_few_hours,ok,too_few_hours
95332219,2025-09,Mild,240,480,ok,ok,ok
95332219,2025-09,Moderate,0,480,too_few_hours,ok,too_few_hours
95332219,2025-09,Severe,0,480,too_few_hours,ok,too_few_hours
95332219,2025-09,Extreme,0,480,too_few_hours,ok,too_few_hours
95332219,2025-10,Mild,0,744,too_few_hours,ok,too_few_hours
95332219,2025-10,Moderate,0,744,too_few_hours,ok,too_few_hours
95332219,2025-10,Severe,0,744,too_few_hours,ok,too_few_hours
95332219,2025-10,Extreme,0,744,too_few_hours,ok,too_few_hours
95332219,2025-11,Mild,408,240,ok,ok,ok
95332219,2025-11,Moderate,0,240,too_few_hours,ok,too_few_hours
95332219,2025-11,Severe,0,240,too_few_hours,ok,too_few_hours
95332219,2025-11,Extreme,0,240,too_few_hours,ok,too_few_hours
95332219,2025-12,Mild,16,720,too_few_hours,ok,too_few_hours
95332219,2025-12,Moderate,0,720,too_few_hours,ok,too_few_hours
95332219,2025-12,Severe,0,720,too_few_hours,ok,too_few_hours
