DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Severe,site_month,elevation,0.3643882687980474,0.07283852385202415,23
Severe,site_month,slope,0.180473906666653,0.05187792775133438,23
Severe,site_month,soil_temperature,0.15471250168624912,0.03467276905501338,23
Severe,site_month,LAI,0.06163590867632693,0.015521912417761612,23
Severe,site_month,SPI_intensity,0.06128001771104749,0.009394176299130688,23
Severe,site_month,FAPAR,0.04158276165432293,0.010942823624227944,23
Severe,site_month,soil_moisture,0.03952743106868019,0.00802765780951138,23
Severe,site_month,aspect_sin,0.03278444924384961,0.010732837719621066,23
Severe,site_month,Duration_days,0.030634802236376914,0.007430456083922203,23
Severe,site_month,aspect_cos,0.016528438669724504,0.006979381567600447,23
Severe,site_month,canopy_height,0.016451513588721888,0.0043032728973048245,23
