DroughtLevel,Layer,feature,importance_mean,importance_std,rank_mean,rank_std
Severe,site_month,elevation,0.3887711954552408,0.022379993402392613,1.0,0.0
Severe,site_month,slope,0.1728255926743337,0.028680383322032613,2.2,0.447213595499958
Severe,site_month,soil_temperature,0.14112609566977735,0.020828182552054167,2.8,0.447213595499958
Severe,site_month,LAI,0.06794842048223285,0.009045076435748147,4.2,0.44721359549995787
Severe,site_month,SPI_intensity,0.05785245767260916,0.0044109868591607065,4.8,0.44721359549995787
Severe,site_month,soil_moisture,0.037220237628796976,0.005339502510343106,6.8,1.3038404810405297
Severe,site_month,Duration_days,0.0326993308207276,0.005224497139394091,7.4,0.5477225575051662
Severe,site_month,FAPAR,0.036508352429336664,0.006055447208590997,7.4,0.8944271909999159
Severe,site_month,aspect_sin,0.028642783375878618,0.0071542523899170785,8.6,1.51657508881031
Severe,site_month,canopy_height,0.019305675783956876,0.004058529161011286,10.2,0.8366600265340757
Severe,site_month,aspect_cos,0.017099858007109427,0.0014262256992479108,10.6,0.5477225575051662
