Site_ID,DroughtLevel,DroughtLevel_CN,n_site_months,DeltaCBI,SPI_intensity,Duration_days,LAI,FAPAR,soil_moisture,soil_temperature,Longitude,Latitude,elevation,slope,aspect_sin,aspect_cos,canopy_height,nighttime_light,built_up_distance
95332217,Extreme,极端干旱,1,-0.004308895697803017,2.245156049728394,9.0,1.788888888888889,0.6333333333333334,0.23399746944444447,15.535228588888888,117.63227,25.27501,287.0,37.2436637878418,0.7354692033110201,-0.6775581532097842,14.0,,
95332217,Mild,轻度干旱,4,0.07060829243838923,0.9959700703620911,42.0,1.8285714285714287,0.5723809523809523,0.22655553692857144,17.770709325761903,117.63227,25.27501,287.0,37.2436637878418,0.7354692033110201,-0.6775581532097842,14.0,,
95332217,Moderate,中度干旱,3,0.007216571428721217,1.404655694961548,17.0,1.2176470588235293,0.46588235294117647,0.23931267623529415,18.037837010705886,117.63227,25.27501,287.0,37.2436637878418,0.7354692033110201,-0.6775581532097842,14.0,,
95332217,Severe,重度干旱,1,0.05738258075971475,1.86681056022644,6.0,3.366666666666667,0.7733333333333334,0.2671810003333333,24.582356771666667,117.63227,25.27501,287.0,37.2436637878418,0.7354692033110201,-0.6775581532097842,14.0,,
95332218,Mild,轻度干旱,6,-0.08240201613333327,0.9957558512687683,64.0,3.5015625000000004,0.6562500000000001,,,117.01007,24.96933,550.0,35.41823196411133,-0.9693774487121799,-0.2455755727434329,16.0,,
95332218,Moderate,中度干旱,2,-0.004864807439186081,1.462487697601318,13.0,5.492307692307692,0.8884615384615385,,,117.01007,24.96933,550.0,35.41823196411133,-0.9693774487121799,-0.2455755727434329,16.0,,
95332218,Severe,重度干旱,1,0.026181937938719813,1.701288223266602,9.0,4.2444444444444445,0.8544444444444443,,,117.01007,24.96933,550.0,35.41823196411133,-0.9693774487121799,-0.2455755727434329,16.0,,
95332219,Mild,轻度干旱,7,0.0505725848601095,0.962844967842102,72.0,3.9708333333333337,0.6662499999999999,,,117.0948,25.2415,525.0,35.97828674316406,-0.9230769711402929,-0.3846152692632767,16.0,,
95332219,Moderate,中度干旱,1,0.1486178080068572,1.484163522720337,7.0,5.714285714285715,0.8857142857142856,,,117.0948,25.2415,525.0,35.97828674316406,-0.9230769711402929,-0.3846152692632767,16.0,,
95332219,Severe,重度干旱,2,0.06631891670212046,1.953184962272644,14.0,4.957142857142857,0.8307142857142857,,,117.0948,25.2415,525.0,35.97828674316406,-0.9230769711402929,-0.3846152692632767,16.0,,
95332220,Extreme,极端干旱,1,-0.09776579968813137,2.009874820709229,7.0,2.857142857142857,0.6799999999999999,0.26301361471428575,13.463727680000002,116.11679,25.25292,507.0,23.232879638671875,0.906834659071486,0.421486537278122,16.0,,
95332220,Mild,轻度干旱,5,-0.018155733775997766,0.9891442656517029,39.0,4.4692307692307685,0.7641025641025642,0.29789621502564106,23.402343750256406,116.11679,25.25292,507.0,23.232879638671875,0.906834659071486,0.421486537278122,16.0,,
95332220,Severe,重度干旱,1,0.003196834926668557,1.904371023178101,10.0,4.159999999999999,0.8119999999999999,0.2639317074,16.847200521,116.11679,25.25292,507.0,23.232879638671875,0.906834659071486,0.421486537278122,16.0,,
95332221,Extreme,极端干旱,1,-0.018223525174457467,2.27681040763855,3.0,6.7,0.91,0.3486890363333333,24.06011284666667,117.3608625,26.78347812,318.0,35.6082649230957,-0.8671056826964867,0.4981242164716144,20.0,,
