Site_ID,YearMonth,DroughtLevel,DroughtLevel_CN,Target_CBI,Normal_CBI,DeltaCBI,Target_Intercept,Normal_Intercept,Target_R2,Normal_R2,Target_n_hours,Normal_n_hours,Target_Macro_SD,Normal_Macro_SD,Pass_Hours,Pass_Macro_SD,Pair_flag,MinDailySPI,SPI_intensity,DurationDays,EventStartDate,EventEndDate,N_events_in_site_month,LAI,FAPAR,soil_moisture,soil_temperature,Longitude,Latitude,elevation,slope,canopy_height,aspect_sin,aspect_cos,nighttime_light,built_up_distance,Duration_days
95332217,2025-02,Mild,轻度干旱,0.7202931432995622,0.5493040466410258,0.17098909665853634,3.888835842361317,6.389040500804072,0.8757501009861466,0.6217413649885569,432,96,4.8754233262841105,3.865178365047022,True,True,ok,-0.9903508424758911,0.9903508424758911,18,2025-02-02,2025-02-28,4,1.1722222222222223,0.4844444444444444,0.11890715811111112,12.928457754,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,,18
95332217,2025-02,Moderate,中度干旱,0.5623714111920671,0.5493040466410258,0.013067364551041294,6.040885825862679,6.389040500804072,0.7100899964792877,0.6217413649885569,144,96,3.733824743860057,3.865178365047022,True,True,ok,-1.209383249282837,1.209383249282837,6,2025-02-01,2025-02-19,3,0.9833333333333333,0.465,0.11456949883333332,12.975151908666666,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,,6
95332217,2025-04,Mild,轻度干旱,0.7266364432310662,0.7359620624340122,-0.009325619202945945,4.625923957649093,5.075634693327261,0.8769424997248251,0.8660911739729881,120,288,4.043172881269714,4.49736574773683,True,True,ok,-0.9660468697547913,0.9660468697547913,5,2025-04-15,2025-04-19,1,2.2,0.61,0.2373294394,17.762369794,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,,5
95332217,2025-04,Moderate,中度干旱,0.6606462177101006,0.7359620624340122,-0.07531584472391162,4.672383299457053,5.075634693327261,0.7689072028148161,0.8660911739729881,72,288,4.916215409728128,4.49736574773683,True,True,ok,-1.197887301445007,1.197887301445007,3,2025-04-12,2025-04-14,1,1.8999999999999997,0.65,0.26635763500000004,17.255859376666667,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,,3
95332217,2025-04,Extreme,极端干旱,0.7316531667362092,0.7359620624340122,-0.004308895697803017,3.5884239623002987,5.075634693327261,0.7764295019202038,0.8660911739729881,216,288,4.365451248368573,4.49736574773683,True,True,ok,-2.245156049728394,2.245156049728394,9,2025-04-02,2025-04-11,2,1.788888888888889,0.6333333333333334,0.23399746944444447,15.535228588888888,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,,9
95332217,2025-05,Mild,轻度干旱,0.6042182772978861,0.5901143444884914,0.014103932809394704,8.208429655190912,8.223284402733114,0.7423730838862894,0.7245465380429449,264,264,3.6269462064017284,3.5664912411564313,True,True,ok,-0.9959700703620911,0.9959700703620911,11,2025-05-12,2025-05-31,2,1.6818181818181819,0.5018181818181818,0.3026409721818182,20.681463068181817,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,,11
95332217,2025-05,Moderate,中度干旱,0.6238924771327099,0.5901143444884914,0.03377813264421847,8.742164647161806,8.223284402733114,0.8947209925471795,0.7245465380429449,192,264,3.30418370130679,3.5664912411564313,True,True,ok,-1.404655694961548,1.404655694961548,8,2025-05-20,2025-05-28,2,1.1375000000000002,0.3975,0.32272819975,22.128092450000004,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,,8
95332217,2025-07,Severe,重度干旱,0.48939517810509103,0.4320125973453763,0.05738258075971475,11.809805089324048,13.870947336200297,0.8365646638428347,0.7425427498265845,144,144,3.6729235756459055,1.9093716735884416,True,True,ok,-1.86681056022644,1.86681056022644,6,2025-07-02,2025-07-07,1,3.366666666666667,0.7733333333333334,0.2671810003333333,24.582356771666667,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,,6
95332217,2025-09,Mild,轻度干旱,0.46109924338401387,0.4886955711752537,-0.027596327791239827,13.405918261945112,12.57783049914937,0.7331694305170743,0.7318277612481554,192,336,2.5657522070734005,2.6704646585175005,True,True,ok,-0.8056297302246094,0.8056297302246094,8,2025-09-01,2025-09-08,1,3.2750000000000004,0.84375,0.35741322675,24.66870117375,117.63227,25.27501,287.0,37.2436637878418,14.0,0.7354692033110201,-0.6775581532097842,,,8
95332218,2025-02,Mild,轻度干旱,0.7921331119962485,0.8586639948269097,-0.06653088283066122,1.825779501258861,1.5587140380075377,0.8705127217788695,0.8186211659324587,552,72,4.451059544851375,3.025705108585567,True,True,ok,-0.9403422474861145,0.9403422474861145,23,2025-02-01,2025-02-28,4,2.034782608695652,0.5356521739130436,,,117.01007,24.96933,550.0,35.41823196411133,16.0,-0.9693774487121799,-0.2455755727434329,,,23
