DroughtLevel,Layer,observed,predicted_cv,baseline_predicted_cv
Severe,site,0.05738258075971475,0.021913952147434267,-0.0012172029188484272
Severe,site,0.026181937938719813,0.00426630605320288,0.00020100811846952458
Severe,site,0.06631891670212046,0.00666028306151499,-0.0016234000071395965
Severe,site,0.003196834926668557,-0.01271601060644825,0.0012457855281082155
Severe,site,0.005096773890713724,0.03855341627094462,0.0011594246661061625
Severe,site,0.08593933562440133,0.02365018773382345,-0.002515237230879637
Severe,site,0.01720911331757694,0.035083134774132024,0.0006088637830669256
Severe,site,-0.008928140627747494,0.03765987657779176,0.0017969207805816735
Severe,site,0.026952250006471702,0.023145185342609804,0.00016599393357170922
Severe,site,-0.005206162657815562,0.014637470123163892,0.0016277399637665872
Severe,site,0.049338774201318714,0.022202487780364048,-0.0008515753480122449
Severe,site,0.07715653508654977,-0.02392463604813992,-0.0021160190246136564
Severe,site,0.03541869456841919,0.044523670847008756,-0.00021884445560772035
Severe,site,0.07602189617055116,0.039362729660563256,-0.0020644445284319006
Severe,site,0.03932375128435924,0.015452329057466553,-0.00039634703360499646
Severe,site,-0.07059248856523209,-0.012674985773201667,0.004599845686830972
Severe,site,-0.3091707950546807,-0.04119652977795092,0.015444314163624094
Severe,site,-0.14451288047637378,-0.0457246990379024,0.007959863500973776
Severe,site,-0.08928281074815665,0.03813510465220395,0.005449405786054815
Severe,site,-0.02209615612491591,0.05193611167013052,0.0023954669395438726
Severe,site,0.050817340002299094,-0.05549361151260832,-0.0009187828844204452
Severe,site,0.07756957842458254,0.022821726220353344,-0.0021347937217969654
Severe,site,-0.013530762104495442,-0.06518845924579457,0.002006130847706579
