DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Severe,site,elevation,0.32893568024700254,0.08399600193383423,23
Severe,site,slope,0.23357047388015975,0.05431701798712963,23
Severe,site,soil_temperature,0.157827600491527,0.04391592915573982,23
Severe,site,FAPAR,0.0885722422160213,0.029688582485163,23
Severe,site,aspect_sin,0.07136209094105316,0.02014321087201617,23
Severe,site,LAI,0.03404645392557316,0.01203523660093766,23
Severe,site,SPI_intensity,0.020504597030592833,0.007256989107223367,23
Severe,site,aspect_cos,0.02024072435868811,0.009094166188987705,23
Severe,site,Duration_days,0.018543133049293538,0.008693452451623169,23
Severe,site,soil_moisture,0.014883650999463642,0.00669911124405566,23
Severe,site,canopy_height,0.011513352860625024,0.005952696273409958,23
