DroughtLevel,Layer,observed,predicted_cv,baseline_predicted_cv
Mild,site,0.07060829243838923,0.0041163318449719795,0.025809017384848407
Mild,site,-0.08240201613333327,0.046492414182627465,0.03542726250866852
Mild,site,0.0505725848601095,0.044213220848870805,0.03542726250866852
Mild,site,-0.018155733775997766,0.005575818963577006,0.022871247828750996
Mild,site,0.12035524422213265,0.06780242396983449,0.030242377992988498
Mild,site,0.03200852360437424,-0.0041873812065728894,0.03542726250866852
Mild,site,0.048284674642895604,0.06790830772054773,0.022871247828750996
Mild,site,0.06624096016342067,0.04071359148489333,0.030242377992988498
Mild,site,0.004150105693680411,0.06171968913805346,0.030242377992988498
Mild,site,0.06108446722425365,0.0414543755080173,0.02719073750036095
Mild,site,0.022902840741503,0.0236663350412515,0.030242377992988498
Mild,site,0.0704162200026214,0.08397025599344621,0.025809017384848407
Mild,site,0.09471452177678509,0.030140751624141874,0.022871247828750996
Mild,site,0.14362097793723216,0.06119526584487673,0.022871247828750996
Mild,site,0.030414203788890988,-0.0045783276263255505,0.022871247828750996
Mild,site,-0.06929161992714072,0.01323089803260701,0.030242377992988498
Mild,site,0.02189946953621943,0.004348801237307913,0.02719073750036095
Mild,site,-0.04711686626526925,-0.017296409651987466,0.02719073750036095
Mild,site,-0.013979717543116324,0.020629506960137024,0.022871247828750996
Mild,site,-0.032928936479380146,-0.005621012590593974,0.03542726250866852
Mild,site,-0.01425233751589387,-0.034621109700126496,0.030242377992988498
Mild,site,-0.05166714288290608,-0.019782344682412824,0.025809017384848407
Mild,site,0.036650186293899725,0.016199540778598084,0.02719073750036095
Mild,site,0.05750973021295316,0.012606879253269126,0.025809017384848407
Mild,site,0.09448164943341629,0.044272306267354206,0.02719073750036095
Mild,site,0.018545200187982995,0.05827017346435103,0.03542726250866852
Mild,site,0.05052964899273788,0.06790177708031452,0.025809017384848407
