DroughtLevel,Layer,observed,predicted_cv,baseline_predicted_cv
Moderate,site_month,0.013067364551041294,0.023928612805705827,0.015310766340895633
Moderate,site_month,-0.07531584472391162,0.017853316214953466,0.015310766340895633
Moderate,site_month,0.03377813264421847,-0.04118238716770721,0.015310766340895633
Moderate,site_month,0.07936495576440528,0.009940800258638305,0.015132077009432152
Moderate,site_month,-0.10313286451004267,0.006572187247476905,0.015132077009432152
Moderate,site_month,0.1486178080068572,0.002816434158412907,0.013472627507114216
Moderate,site_month,-0.013011433270817108,0.009596923489671231,0.011804347792304572
Moderate,site_month,0.14101622791397045,-0.009985357659275192,0.011804347792304572
Moderate,site_month,-0.02426123238810418,0.02841626402334924,0.011804347792304572
Moderate,site_month,-0.019700055930478078,-0.027142874127616304,0.011804347792304572
Moderate,site_month,0.30030730062499356,0.04742203330135623,0.011804347792304572
Moderate,site_month,0.10351111118136402,0.08644438806096053,0.013051565346403353
Moderate,site_month,0.07658279510270982,0.08509859580223533,0.013051565346403353
Moderate,site_month,-0.03021273521299106,0.12412280108485238,0.013051565346403353
Moderate,site_month,0.08547135713531162,0.08349972232661909,0.013051565346403353
Moderate,site_month,-0.13093250609023332,0.05895641054225711,0.019684267898608793
Moderate,site_month,-0.03291010176395859,0.06711955995487369,0.019684267898608793
Moderate,site_month,-0.18212719393376153,0.017608998751494784,0.019684267898608793
Moderate,site_month,-0.15493009715171135,0.013866671256824576,0.019684267898608793
Moderate,site_month,0.08340307411554759,0.0194881048466895,0.019684267898608793
Moderate,site_month,-0.03737939191486905,0.0228172774626394,0.019684267898608793
Moderate,site_month,-0.04741952832995244,0.012852064787651158,0.01545401125138898
Moderate,site_month,-0.020149371621059675,0.005166995664424123,0.01545401125138898
Moderate,site_month,-0.06930282290906953,-0.013922278232753382,0.01545401125138898
Moderate,site_month,-0.013799941307773289,0.012066294789750404,0.01545401125138898
Moderate,site_month,0.13720915407721934,0.023132441857299835,0.01545401125138898
Moderate,site_month,-0.010134113321871419,-0.005023891990307847,0.016706331233851353
Moderate,site_month,0.1726862415787298,-0.00563737141841774,0.016706331233851353
Moderate,site_month,-0.22364750751419038,0.007544450736010123,0.016706331233851353
Moderate,site_month,-0.008451075645062867,0.021410886379536195,0.016706331233851353
Moderate,site_month,-0.0828586929102001,0.03143811356704751,0.016706331233851353
Moderate,site_month,0.019146090867412036,0.05530290924060265,0.016706331233851353
Moderate,site_month,-0.13239523753568683,-0.05497362570857682,0.013141002443464143
Moderate,site_month,0.1144055652993955,-0.14200264679947813,0.013141002443464143
Moderate,site_month,-0.08105435802386168,0.007175472489247961,0.013141002443464143
Moderate,site_month,0.15047069010077846,0.0054409879219722915,0.013141002443464143
Moderate,site_month,0.18722879013254645,0.03715025345827645,0.013141002443464143
Moderate,site_month,-0.10033044379349754,0.02521943124362467,0.014733739554305368
Moderate,site_month,0.10659133187822334,-0.023845257505538717,0.014733739554305368
Moderate,site_month,-0.009333401046125123,0.00238694504763454,0.014733739554305368
Moderate,site_month,-0.021240207759488483,0.013131526973706056,0.014733739554305368
Moderate,site_month,0.1041388175074901,-0.000350198658310075,0.014733739554305368
Moderate,site_month,-4.5252340818535686e-05,0.09555072289474197,0.014733739554305368
Moderate,site_month,0.14512919597204366,-0.01933244352673259,0.011668078288631438
Moderate,site_month,0.10174506699252939,-0.02166700669709906,0.011668078288631438
Moderate,site_month,0.030565747330411952,-0.12555297530304618,0.011668078288631438
Moderate,site_month,-0.0583940219395902,0.005195528387215167,0.011668078288631438
Moderate,site_month,0.08977806646048692,0.005365138520583755,0.011668078288631438
Moderate,site_month,-0.046266098806910794,-0.02719760069207527,0.011668078288631438
Moderate,site_month,0.1599823834182288,0.02963880990429149,0.011668078288631438
Moderate,site_month,-0.09673472003799599,-0.011469664362572749,0.014011828003614297
Moderate,site_month,-0.036909992207468934,-0.017125369611172035,0.014011828003614297
Moderate,site_month,-0.006607960394080847,-0.039855473151317586,0.014011828003614297
Moderate,site_month,0.07945504827720212,-0.022316531530905636,0.014011828003614297
Moderate,site_month,0.20453308827914846,0.03482786085397355,0.014011828003614297
Moderate,site_month,-0.06297447260373912,0.06535065380556519,0.011512295464267899
Moderate,site_month,0.07150324083655746,0.020187404046615297,0.011512295464267899
Moderate,site_month,0.016612432854201664,0.01809696358532235,0.011512295464267899
Moderate,site_month,0.06827392412284683,0.04032494024894638,0.011512295464267899
Moderate,site_month,0.04437033223704334,0.04640618973345725,0.011512295464267899
Moderate,site_month,0.20773872243039737,0.036309707134239554,0.011512295464267899
Moderate,site_month,0.09368492175679077,0.10183255251855095,0.011512295464267899
Moderate,site_month,0.1321401654882174,0.010212811102429869,0.009957978471594605
Moderate,site_month,0.26008530784320655,0.02412368448736522,0.009957978471594605
Moderate,site_month,0.0882126309769421,0.03209872134563356,0.009957978471594605
Moderate,site_month,0.08142217259331047,0.02701841687536263,0.009957978471594605
Moderate,site_month,0.02374478600527491,0.04260029055096554,0.009957978471594605
Moderate,site_month,-0.051003517757756245,0.016850586015722598,0.016345719809243178
Moderate,site_month,-0.1821556153438797,-0.05241075618942105,0.016345719809243178
Moderate,site_month,-0.016466101183732818,-0.006197834292835396,0.016345719809243178
Moderate,site_month,0.15782633341025964,0.009462228884338552,0.016345719809243178
Moderate,site_month,-0.018859842021633932,0.010448364281891765,0.016345719809243178
Moderate,site_month,-0.13945877523462624,-0.03967139596082444,0.01701275688701848
Moderate,site_month,-0.14125526449003367,-0.005699522012776754,0.01701275688701848
Moderate,site_month,0.05485387276930598,-0.023440671773485532,0.01701275688701848
Moderate,site_month,-0.0016583406329614414,0.008261433133100808,0.01701275688701848
Moderate,site_month,0.03430019709208021,0.032256280529747876,0.01701275688701848
Moderate,site_month,0.026865283009002816,-0.03214828289739782,0.01701275688701848
Moderate,site_month,-0.06903451917452064,0.03269772520374585,0.01730258701362639
Moderate,site_month,-0.23908795902961466,-0.09282105040318733,0.01730258701362639
Moderate,site_month,0.05856003600236981,0.016151606116088124,0.01730258701362639
Moderate,site_month,0.13692513236736226,0.0010655547936816532,0.009999255444674037
Moderate,site_month,0.22107285391870313,0.024664800803255928,0.009999255444674037
Moderate,site_month,0.20310937566587983,0.015120772936601704,0.009999255444674037
Moderate,site_month,-0.0807052756834381,0.0032964768611017147,0.013475774676605328
Moderate,site_month,0.20131866680406296,-0.009812612243333314,0.013475774676605328
Moderate,site_month,0.05460033608694714,0.03511881866087586,0.013475774676605328
Moderate,site_month,0.039046056706339316,0.03602960678203873,0.01653463083965273
Moderate,site_month,-0.3328420549204245,-0.03575767771713378,0.01653463083965273
Moderate,site_month,0.12947669132339534,0.026194063112641285,0.01653463083965273
Moderate,site_month,-0.04421017195298271,0.02502606313945171,0.017894216690992573
Moderate,site_month,-0.22322097815937791,-0.03967692141338465,0.017894216690992573
Moderate,site_month,-0.047802186277051795,0.041178346548697765,0.017894216690992573
Moderate,site_month,-0.14311595612980255,0.015270750093175333,0.01733809702176243
Moderate,site_month,-0.07554383692789757,0.010311824911989205,0.01733809702176243
Moderate,site_month,-0.05185070761839944,-0.006783788567290031,0.01733809702176243
Moderate,site_month,0.06481824569561817,0.03205442785799375,0.01733809702176243
Moderate,site_month,-0.013135604080860008,0.020977514946247427,0.01733809702176243
Moderate,site_month,-0.04907366767422461,0.03264843532377688,0.018764036893252196
Moderate,site_month,-0.04281270829126671,0.030911269201471664,0.018764036893252196
Moderate,site_month,-0.04910945630244856,0.02940809718872424,0.018764036893252196
Moderate,site_month,-0.2356822592018245,0.029244805136218858,0.018764036893252196
Moderate,site_month,0.049439561401553034,0.02837698810502505,0.018764036893252196
Moderate,site_month,-0.028252738092262475,0.03055734012689628,0.018764036893252196
Moderate,site_month,0.14545393556978004,-0.03180368023406666,0.011012747019366467
Moderate,site_month,0.05244643814934724,0.011978336094440595,0.011012747019366467
Moderate,site_month,0.2507094234419581,0.06284364847978365,0.011012747019366467
Moderate,site_month,0.01026300993915652,0.013988678990632785,0.013808403275015955
Moderate,site_month,0.13186298971215715,0.025493257632808457,0.013808403275015955
Moderate,site_month,-0.17702662057291196,0.06266984526805182,0.013808403275015955
Moderate,site_month,0.018749706299914737,0.06701740950715199,0.013808403275015955
Moderate,site_month,0.18205967395570744,0.1086199291644491,0.013808403275015955
Moderate,site_month,-0.047410456758686936,0.05026276611193547,0.01602147346414911
Moderate,site_month,-0.07596985491524982,0.07977249020518802,0.01602147346414911
