DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Extreme,site_month,slope,0.3435612155550261,0.11176622100142856,13
Extreme,site_month,soil_temperature,0.16048666274462223,0.058165893951093915,13
Extreme,site_month,elevation,0.12611087773594462,0.05569255104974253,13
Extreme,site_month,SPI_intensity,0.08850123655979095,0.035947507080311386,13
Extreme,site_month,soil_moisture,0.06982882980854889,0.039226332873279424,13
Extreme,site_month,aspect_cos,0.046724819260911606,0.028960891033215502,13
Extreme,site_month,aspect_sin,0.044171909066545875,0.024490310781328014,13
Extreme,site_month,Duration_days,0.03133495277049918,0.008486553362619356,13
Extreme,site_month,canopy_height,0.031164803107646664,0.01558150839057442,13
Extreme,site_month,LAI,0.030682275009852784,0.012701780659392863,13
Extreme,site_month,FAPAR,0.027432418380611147,0.008822214659975633,13
