DroughtLevel,Layer,feature,importance_mean,importance_std,folds_used
Moderate,site,elevation,0.15962647142946035,0.06882997021169734,5
Moderate,site,slope,0.14729055726949952,0.03855713207606821,5
Moderate,site,soil_temperature,0.11713701178384724,0.05072965434013157,5
Moderate,site,SPI_intensity,0.1006484341530061,0.040102199756836425,5
Moderate,site,Duration_days,0.08225988443011766,0.009900769247567267,5
Moderate,site,FAPAR,0.07430915677194064,0.04085794381351711,5
Moderate,site,aspect_cos,0.07179201839438808,0.0182191492857924,5
Moderate,site,soil_moisture,0.06910250161801353,0.04902256169436265,5
Moderate,site,canopy_height,0.06442565535575336,0.03151192376092313,5
Moderate,site,aspect_sin,0.06124637174100496,0.04355758154851008,5
Moderate,site,LAI,0.05216193705296864,0.004821892169776198,5
