月份,有效网格数,正常网格数,正常占比(%),轻度干旱网格数,轻度干旱占比(%),中度干旱网格数,中度干旱占比(%),重度干旱网格数,重度干旱占比(%),极端干旱网格数,极端干旱占比(%),非干旱范围网格数,非干旱范围占比(%),缺失值网格数,缺失值占比(%),受旱网格占比(%)
2025年10月,4411,1843,41.78,178,4.04,30,0.68,11,0.25,8,0.18,2341,53.07,4234,0.0,5.15
2025年10月,4411,1632,37.0,144,3.26,25,0.57,12,0.27,5,0.11,2593,58.78,4234,0.0,4.21
2025年10月,4411,1502,34.05,125,2.83,25,0.57,7,0.16,3,0.07,2749,62.32,4234,0.0,3.63
2025年10月,4411,1493,33.85,117,2.65,22,0.5,6,0.14,3,0.07,2770,62.8,4234,0.0,3.36
2025年10月,4411,2018,45.75,214,4.85,74,1.68,15,0.34,4,0.09,2086,47.29,4234,0.0,6.96
2025年10月,4411,2087,47.31,230,5.21,62,1.41,16,0.36,4,0.09,2012,45.61,4234,0.0,7.07
2025年10月,4411,2031,46.04,230,5.21,30,0.68,19,0.43,2,0.05,2099,47.59,4234,0.0,6.37
2025年10月,4411,2191,49.67,134,3.04,20,0.45,6,0.14,2,0.05,2058,46.66,4234,0.0,3.68
2025年10月,4411,1855,42.05,112,2.54,17,0.39,4,0.09,0,0.0,2423,54.93,4234,0.0,3.02
2025年10月,4411,1656,37.54,64,1.45,17,0.39,4,0.09,0,0.0,2670,60.53,4234,0.0,1.93
2025年10月,4411,1377,31.22,35,0.79,4,0.09,0,0.0,0,0.0,2995,67.9,4234,0.0,0.88
2025年10月,4411,1428,32.37,42,0.95,6,0.14,0,0.0,0,0.0,2935,66.54,4234,0.0,1.09
2025年10月,4411,1283,29.09,18,0.41,2,0.05,0,0.0,0,0.0,3108,70.46,4234,0.0,0.46
2025年10月,4411,1801,40.83,51,1.16,3,0.07,0,0.0,0,0.0,2556,57.95,4234,0.0,1.23
2025年10月,4411,1831,41.51,70,1.59,5,0.11,0,0.0,0,0.0,2505,56.79,4234,0.0,1.7
2025年10月,4411,1631,36.98,44,1.0,1,0.02,0,0.0,0,0.0,2735,62.0,4234,0.0,1.02
2025年10月,4411,1112,25.21,25,0.57,1,0.02,0,0.0,0,0.0,3273,74.2,4234,0.0,0.59
2025年10月,4411,1554,35.23,41,0.93,1,0.02,0,0.0,0,0.0,2815,63.82,4234,0.0,0.95
2025年10月,4411,2610,59.17,68,1.54,1,0.02,0,0.0,0,0.0,1732,39.27,4234,0.0,1.56
2025年10月,4411,2482,56.27,62,1.41,1,0.02,0,0.0,0,0.0,1866,42.3,4234,0.0,1.43
2025年10月,4411,2581,58.51,85,1.93,1,0.02,0,0.0,0,0.0,1744,39.54,4234,0.0,1.95
2025年10月,4411,2442,55.36,109,2.47,1,0.02,0,0.0,0,0.0,1859,42.14,4234,0.0,2.49
2025年10月,4411,2288,51.87,130,2.95,1,0.02,0,0.0,0,0.0,1992,45.16,4234,0.0,2.97
2025年10月,4411,2528,57.31,169,3.83,1,0.02,3,0.07,0,0.0,1710,38.77,4234,0.0,3.92
2025年10月,4411,2690,60.98,212,4.81,0,0.0,0,0.0,0,0.0,1509,34.21,4234,0.0,4.81
2025年10月,4411,3214,72.86,319,7.23,21,0.48,29,0.66,2,0.05,826,18.73,4234,0.0,8.42
2025年11月,4411,3109,70.48,261,5.92,54,1.22,15,0.34,0,0.0,972,22.04,4234,0.0,7.48
2025年11月,4411,3129,70.94,217,4.92,44,1.0,16,0.36,0,0.0,1005,22.78,4234,0.0,6.28
2025年11月,4411,2632,59.67,124,2.81,44,1.0,0,0.0,0,0.0,1611,36.52,4234,0.0,3.81
2025年11月,4411,2401,54.43,114,2.58,46,1.04,0,0.0,0,0.0,1850,41.94,4234,0.0,3.62
2025年11月,4411,2587,58.65,132,2.99,56,1.27,7,0.16,0,0.0,1629,36.93,4234,0.0,4.42
2025年11月,4411,2588,58.67,126,2.86,61,1.38,11,0.25,0,0.0,1625,36.84,4234,0.0,4.49
2025年11月,4411,2648,60.03,112,2.54,118,2.68,23,0.52,0,0.0,1510,34.23,4234,0.0,5.74
2025年11月,4411,2658,60.26,152,3.45,83,1.88,53,1.2,11,0.25,1454,32.96,4234,0.0,6.78
2025年11月,4411,2577,58.42,301,6.82,120,2.72,69,1.56,4,0.09,1340,30.38,4234,0.0,11.19
2025年11月,4411,1461,33.12,108,2.45,28,0.63,3,0.07,0,0.0,2811,63.73,4234,0.0,3.15
2025年11月,4411,675,15.3,40,0.91,3,0.07,0,0.0,0,0.0,3693,83.72,4234,0.0,0.98
2025年11月,4411,880,19.95,35,0.79,4,0.09,0,0.0,0,0.0,3492,79.17,4234,0.0,0.88
2025年11月,4411,1367,30.99,68,1.54,6,0.14,1,0.02,0,0.0,2969,67.31,4234,0.0,1.7
2025年11月,4411,1775,40.24,186,4.22,14,0.32,3,0.07,0,0.0,2433,55.16,4234,0.0,4.61
2025年11月,4411,2237,50.71,273,6.19,19,0.43,4,0.09,2,0.05,1876,42.53,4234,0.0,6.76
2025年11月,4411,2403,54.48,273,6.19,21,0.48,2,0.05,2,0.05,1710,38.77,4234,0.0,6.77
2025年11月,4411,2684,60.85,307,6.96,28,0.63,2,0.05,2,0.05,1388,31.47,4234,0.0,7.69
2025年11月,4411,3003,68.08,362,8.21,36,0.82,8,0.18,2,0.05,1000,22.67,4234,0.0,9.26
2025年11月,4411,3389,76.83,450,10.2,26,0.59,16,0.36,3,0.07,527,11.95,4234,0.0,11.22
2025年11月,4411,3450,78.21,514,11.65,35,0.79,16,0.36,3,0.07,393,8.91,4234,0.0,12.87
2025年11月,4411,3693,83.72,612,13.87,36,0.82,13,0.29,7,0.16,50,1.13,4234,0.0,15.14
2025年11月,4411,3741,84.81,518,11.74,38,0.86,6,0.14,2,0.05,106,2.4,4234,0.0,12.79
2025年11月,4411,3754,85.11,504,11.43,40,0.91,10,0.23,4,0.09,99,2.24,4234,0.0,12.66
2025年11月,4411,3812,86.42,442,10.02,19,0.43,9,0.2,2,0.05,127,2.88,4234,0.0,10.7
2025年11月,4411,3951,89.57,351,7.96,24,0.54,3,0.07,0,0.0,82,1.86,4234,0.0,8.57
2025年11月,4411,3964,89.87,370,8.39,10,0.23,2,0.05,0,0.0,65,1.47,4234,0.0,8.67
2025年11月,4411,4016,91.05,330,7.48,8,0.18,2,0.05,0,0.0,55,1.25,4234,0.0,7.71
2025年11月,4411,3905,88.53,455,10.32,16,0.36,2,0.05,0,0.0,33,0.75,4234,0.0,10.73
2025年11月,4411,3833,86.9,533,12.08,30,0.68,2,0.05,0,0.0,13,0.29,4234,0.0,12.81
2025年11月,4411,4194,95.08,6,0.14,0,0.0,0,0.0,0,0.0,211,4.78,4234,0.0,0.14
2025年12月,4411,4092,92.77,27,0.61,7,0.16,1,0.02,3,0.07,281,6.37,4234,0.0,0.86
2025年12月,4411,3706,84.02,49,1.11,3,0.07,5,0.11,0,0.0,648,14.69,4234,0.0,1.29
2025年12月,4411,3438,77.94,394,8.93,78,1.77,36,0.82,0,0.0,465,10.54,4234,0.0,11.52
2025年12月,4411,3284,74.45,478,10.84,165,3.74,49,1.11,0,0.0,435,9.86,4234,0.0,15.69
2025年12月,4411,3350,75.95,505,11.45,98,2.22,15,0.34,0,0.0,443,10.04,4234,0.0,14.01
2025年12月,4411,3397,77.01,489,11.09,92,2.09,13,0.29,0,0.0,420,9.52,4234,0.0,13.47
2025年12月,4411,3467,78.6,468,10.61,69,1.56,5,0.11,0,0.0,402,9.11,4234,0.0,12.28
2025年12月,4411,3546,80.39,398,9.02,55,1.25,1,0.02,0,0.0,411,9.32,4234,0.0,10.29
2025年12月,4411,3439,77.96,298,6.76,52,1.18,0,0.0,0,0.0,622,14.1,4234,0.0,7.94
2025年12月,4411,2673,60.6,686,15.55,882,20.0,109,2.47,1,0.02,60,1.36,4234,0.0,38.04
2025年12月,4411,1794,40.67,1175,26.64,1179,26.73,254,5.76,1,0.02,8,0.18,4234,0.0,59.15
2025年12月,4411,1888,42.8,1186,26.89,1098,24.89,231,5.24,2,0.05,6,0.14,4234,0.0,57.07
2025年12月,4411,1953,44.28,1176,26.66,1112,25.21,164,3.72,0,0.0,6,0.14,4234,0.0,55.59
2025年12月,4411,2082,47.2,1152,26.12,1082,24.53,89,2.02,0,0.0,6,0.14,4234,0.0,52.67
2025年12月,4411,2174,49.29,1153,26.14,1042,23.62,33,0.75,0,0.0,9,0.2,4234,0.0,50.51
2025年12月,4411,2331,52.85,1236,28.02,817,18.52,13,0.29,0,0.0,14,0.32,4234,0.0,46.83
2025年12月,4411,2386,54.09,1378,31.24,628,14.24,3,0.07,0,0.0,16,0.36,4234,0.0,45.55
2025年12月,4411,2334,52.91,1356,30.74,699,15.85,0,0.0,0,0.0,22,0.5,4234,0.0,46.59
2025年12月,4411,2426,55.0,931,21.11,991,22.47,32,0.73,1,0.02,30,0.68,4234,0.0,44.33
2025年12月,4411,2768,62.75,1485,33.67,128,2.9,6,0.14,0,0.0,24,0.54,4234,0.0,36.71
2025年12月,4411,2658,60.26,1534,34.78,172,3.9,11,0.25,0,0.0,36,0.82,4234,0.0,38.93
2025年12月,4411,2396,54.32,1707,38.7,272,6.17,13,0.29,0,0.0,23,0.52,4234,0.0,45.16
2025年12月,4411,2411,54.66,1755,39.79,229,5.19,0,0.0,0,0.0,16,0.36,4234,0.0,44.98
2025年12月,4411,2762,62.62,1614,36.59,12,0.27,0,0.0,0,0.0,23,0.52,4234,0.0,36.86
2025年12月,4411,2481,56.25,1803,40.88,107,2.43,0,0.0,0,0.0,20,0.45,4234,0.0,43.31
2025年12月,4411,2267,51.39,1870,42.39,269,6.1,0,0.0,0,0.0,5,0.11,4234,0.0,48.49
2025年12月,4411,2038,46.2,1479,33.53,892,20.22,0,0.0,0,0.0,2,0.05,4234,0.0,53.75
2025年12月,4411,1847,41.87,1380,31.29,1164,26.39,0,0.0,0,0.0,20,0.45,4234,0.0,57.68
2025年12月,4411,1641,37.2,1258,28.52,1455,32.99,40,0.91,0,0.0,17,0.39,4234,0.0,62.42
2025年12月,4411,552,12.51,693,15.71,2619,59.37,547,12.4,0,0.0,0,0.0,4234,0.0,87.48
2025年12月,4411,620,14.06,3665,83.09,126,2.86,0,0.0,0,0.0,0,0.0,4234,0.0,85.95
