Site_ID,Event_ID,Event_CBI,Event_n_hours,Event_MacroSD,Event_Flag,Window_CBI,Window_Flag,Window_n_hours,Window_MacroSD,Absolute_Difference,Reproduced
95332217,3,0.7395714029292012,432,4.675849625275155,ok,0.7395714029292012,ok,432,4.675849625275155,0.0,True
95332217,4,0.5730498209166532,1392,3.899570046565925,ok,0.5730498209166532,ok,1392,3.899570046565925,0.0,True
95332218,4,0.801848689438064,528,4.702721798207631,ok,0.801848689438064,ok,528,4.702721798207631,0.0,True
95332219,5,0.9580270488065812,528,4.623184564903906,ok,0.9580270488065812,ok,528,4.623184564903906,0.0,True
95332219,7,0.7150030465101354,888,3.124980499773649,ok,0.7150030465101354,ok,888,3.124980499773649,0.0,True
95332220,3,0.8437714784170636,552,5.161636512155838,ok,0.8437714784170636,ok,552,5.161636512155838,0.0,True
95332220,4,0.8644735133765484,480,4.575208045784468,ok,0.8644735133765484,ok,480,4.575208045784468,0.0,True
95332221,7,0.5753470684594817,696,3.1689286804269576,ok,0.5753470684594817,ok,696,3.1689286804269576,0.0,True
95332225,7,1.016864964352977,1032,3.2438553809083768,ok,1.016864964352977,ok,1032,3.2438553809083768,0.0,True
95332226,5,0.4348817339627502,1032,3.257106372315691,ok,0.4348817339627502,ok,1032,3.257106372315691,0.0,True
95332227,6,0.5236894012669755,1056,3.335793642499528,ok,0.5236894012669755,ok,1056,3.335793642499528,0.0,True
95332228,6,0.8183495111772902,768,3.4261989829716013,ok,0.8183495111772902,ok,768,3.4261989829716013,0.0,True
95332229,7,0.49729809530169516,768,2.892543937585684,ok,0.49729809530169516,ok,768,2.892543937585684,0.0,True
95332230,6,0.8232401073192134,888,3.563969932792012,ok,0.8232401073192134,ok,888,3.563969932792012,0.0,True
95332231,5,0.4655998969410493,936,3.221431004501852,ok,0.4655998969410493,ok,936,3.221431004501852,0.0,True
95332233,6,0.5918684389899925,504,3.409874352032464,ok,0.5918684389899925,ok,504,3.409874352032464,0.0,True
95332235,3,0.8284572219437744,552,5.408230606168894,ok,0.8284572219437744,ok,552,5.408230606168894,0.0,True
95332235,4,0.9201740513931488,480,4.752995764594992,ok,0.9201740513931488,ok,480,4.752995764594992,0.0,True
95332236,4,0.97598150589302,528,4.6801742136204485,ok,0.97598150589302,ok,528,4.6801742136204485,0.0,True
95332236,5,1.3533926823339437,744,2.883672730622036,ok,1.3533926823339437,ok,744,2.883672730622036,0.0,True
95332238,5,0.6888805946080824,504,3.5254774191625695,ok,0.6888805946080824,ok,504,3.5254774191625695,0.0,True
95332239,6,0.498954296994656,504,3.465326627274915,ok,0.498954296994656,ok,504,3.465326627274915,0.0,True
95332242,6,0.5990928563127781,696,3.2799547319008493,ok,0.5990928563127781,ok,696,3.2799547319008493,0.0,True
95332243,6,0.5389901682735735,768,3.2369210647118765,ok,0.5389901682735735,ok,768,3.2369210647118765,0.0,True
95332244,2,0.7345576466865628,552,5.409595299478548,ok,0.7345576466865628,ok,552,5.409595299478548,0.0,True
95332244,3,0.8649037612512016,408,4.74000838343276,ok,0.8649037612512016,ok,408,4.74000838343276,0.0,True
95332244,5,0.45504859219419685,768,2.9404427525623245,ok,0.45504859219419685,ok,768,2.9404427525623245,0.0,True
