Site_ID,Longitude,Latitude
95332217,117.63227,25.27501
95332218,117.01007,24.96933
95332219,117.0948,25.2415
95332220,116.11679,25.25292
95332221,117.3608625,26.78347812
95332222,117.5481259,26.79229729
95332223,117.6007481,26.66962275
95332224,117.4623274,26.53346358
95332225,117.5158023,27.14893502
95332226,117.9129664,27.71936172
95332227,117.7970728,27.56918588
95332228,118.1833673,27.68410527
95332229,117.8937625,27.86000655
95332230,118.1949041,27.56726697
95332231,117.7169739,27.06687783
95332232,117.4091708,25.81640582
95332233,117.467793,25.89459269
95332234,116.77256,25.47449
95332235,116.29942,25.47995
95332236,116.68835,25.66767
95332237,117.00125,25.69326
95332238,117.2348565,25.72348088
95332239,117.6462713,26.197705
95332240,117.6962543,26.39744371
95332242,118.2814144,27.95758117
95332243,118.0908773,27.81907915
95332244,116.28577,25.76857
