Site_ID,YearMonth,Month,Target_Class,Target_CBI,Target_n_hours_recomputed,Target_Macro_SD_recomputed,Normal_CBI,Normal_n_hours_recomputed,Normal_Macro_SD_recomputed,Delta_CBI,Target_Class_CN,Target_n_hours,Normal_n_hours_for_pair,Target_Macro_SD,Normal_Macro_SD_for_pair,Pass_Hours,Pass_Target_Macro_SD,Pass_Normal_Macro_SD,Pass_Hours_Plus_Macro_SD
95332217,2025-02,2,Mild,0.7202931432995622,432,4.8754233262841105,0.5493040466410258,96,3.865178365047022,0.17098909665853634,轻度干旱,432,96,4.875423326284114,3.865178365047022,True,True,True,True
95332217,2025-04,4,Mild,0.7266364432310662,120,4.043172881269714,0.7359620624340122,288,4.49736574773683,-0.009325619202945945,轻度干旱,120,288,4.043172881269714,4.497365747736829,True,True,True,True
95332217,2025-05,5,Mild,0.6042182772978861,264,3.626946206401728,0.5901143444884914,264,3.566491241156432,0.014103932809394704,轻度干旱,264,264,3.626946206401728,3.5664912411564305,True,True,True,True
95332217,2025-09,9,Mild,0.46109924338401387,192,2.5657522070734005,0.4886955711752537,336,2.6704646585175005,-0.027596327791239827,轻度干旱,192,336,2.5657522070733987,2.670464658517501,True,True,True,True
95332218,2025-02,2,Mild,0.7921331119962485,552,4.451059544851375,0.8586639948269097,72,3.025705108585567,-0.06653088283066122,轻度干旱,552,72,4.451059544851369,3.0257051085855675,True,True,True,True
95332218,2025-04,4,Mild,0.40923855516248947,120,2.772105796156614,0.7476767591757293,192,4.3796185055663,-0.3384382040132398,轻度干旱,120,192,2.772105796156614,4.3796185055663015,True,True,True,True
95332218,2025-05,5,Mild,0.6279243190481515,192,2.977010297532452,0.61764769513243,504,3.5527610758016928,0.010276623915721483,轻度干旱,192,504,2.97701029753245,3.5527610758016936,True,True,True,True
95332218,2025-06,6,Mild,0.4874593346447978,360,2.8576226614425466,0.5008989202236367,264,2.1573621589486756,-0.013439585578838897,轻度干旱,360,264,2.857622661442546,2.157362158948675,True,True,True,True
95332218,2025-08,8,Mild,0.39993845153135327,120,2.917542392065093,0.5218871300635601,336,3.114549643723241,-0.12194867853220687,轻度干旱,120,336,2.917542392065092,3.114549643723243,True,True,True,True
95332218,2025-11,11,Mild,0.5869435908736123,192,3.69287033702969,0.7522190311666214,528,4.55841187336748,-0.1652754402930091,轻度干旱,192,528,3.6928703370296896,4.558411873367475,True,True,True,True
