Site_ID,Median_Drought_CBI,Q25_Drought_CBI,Q75_Drought_CBI,N_drought_pairs,N_drought_classes,Median_Normal_CBI,N_normal_site_months,Longitude,Latitude
95332226,0.4774492129670565,0.42609990414559545,0.5284825308642739,13,4,0.44774716758155564,5,117.9129664,27.71936172
95332239,0.48974602375482335,0.39804220659233747,0.4967453036781428,14,3,0.5458042866693882,7,117.6462713,26.197705
95332231,0.4945188718242658,0.4392594781182034,0.551011627127916,12,4,0.42923688935797577,6,117.7169739,27.06687783
95332244,0.4984233508020317,0.44876184080093906,0.6786484753681273,10,4,0.5285125739165253,7,116.28577,25.76857
95332227,0.5235214878850968,0.48748133583609005,0.5822300089921398,16,4,0.5499831222157068,6,117.7970728,27.56918588
95332229,0.5543346529871399,0.5058078128511149,0.6476640705271104,12,3,0.5123151418827577,6,117.8937625,27.86000655
95332243,0.5589151325410954,0.4855797715237962,0.7048497932132612,13,3,0.5703795258820535,6,118.0908773,27.81907915
95332220,0.5682926241693781,0.5271283600717632,0.7636464184053319,7,3,0.6720378843243241,5,116.11679,25.25292
95332218,0.5869435908736123,0.4530647911177348,0.7738586971144491,9,3,0.61764769513243,7,117.01007,24.96933
95332223,0.5896361456002088,0.5336418282487714,0.7178335444798735,16,3,0.6836596965273112,8,117.6007481,26.66962275
95332221,0.5981369269040142,0.5605889588350221,0.6864255666005814,15,4,0.5875836074131189,9,117.3608625,26.78347812
95332217,0.62389247713271,0.5623714111920671,0.7202931432995622,9,4,0.5493040466410258,5,117.63227,25.27501
95332233,0.657328852140777,0.6119424716083199,0.7015371890246439,13,3,0.6613710304536892,7,117.467793,25.89459269
95332242,0.668625034715401,0.605966937912453,0.740195213662378,10,4,0.5499327711150829,5,118.2814144,27.95758117
95332235,0.675090524309238,0.6466503313863654,0.83673705811947,12,3,0.6270320813912303,8,116.29942,25.47995
95332232,0.6755634786211999,0.637392365126695,0.7037741071029299,13,3,0.6967377197808513,7,117.4091708,25.81640582
95332234,0.6836150610143342,0.6043504664024749,0.7865765737201436,11,3,0.7361532797330326,6,116.77256,25.47449
95332238,0.7490141728112025,0.6430200597309732,0.8192698000327642,8,2,0.7731572680044909,6,117.2348565,25.72348088
95332228,0.8110003725564292,0.7236408810778829,0.862699112083346,16,4,0.7737374589822099,7,118.1833673,27.68410527
95332240,0.819705268162518,0.7650901282041795,0.9169229563552399,15,3,0.840279755783783,7,117.6962543,26.39744371
95332219,0.8264828672027269,0.7224615317560654,0.918783568875732,10,3,0.8173739530160636,7,117.0948,25.2415
95332230,0.8381246702883624,0.7693193828696011,0.8605767878027312,17,4,0.6996295070892765,7,118.1949041,27.56726697
95332224,0.8424653535218796,0.8096434797151236,0.8686013694011614,12,2,0.8515608283768024,7,117.4623274,26.53346358
95332237,0.8909258878274435,0.7981875790776781,0.9637852867408527,12,3,0.9029333856501606,7,117.00125,25.69326
95332225,0.8932924652240196,0.8498348921778127,1.010786458206532,16,4,0.8913506215684819,8,117.5158023,27.14893502
95332222,1.0009613937865423,0.9712558982919447,1.0969696740698678,13,3,0.8944968892273892,7,117.5481259,26.79229729
95332236,1.001666892057642,0.9584271586366331,1.3374484768874932,9,3,1.0645085748929999,5,116.68835,25.66767
