Panel,x,y,n,slope,intercept,r,p,stderr,note
Fig.2B,Min_Daily_SPI,Delta_CBI,27,0.07912736369266098,0.24888610829261668,0.1461519437172282,0.46697319525936454,0.10711825550378103,描述性线性趋势；事件-站点样本存在站点/事件非独立性，不作为唯一推断依据。
Fig.2C,Duration_Days,Delta_CBI,27,-0.0020520339808405576,0.13278007312435927,-0.19655046134585602,0.3258003260733634,0.0020473179233216113,描述性线性趋势；事件-站点样本存在站点/事件非独立性，不作为唯一推断依据。
