AnalysisLayer,EvidenceChain,ScenarioID,Site_ID,Event_ID,Start_Date,End_Date,Duration_Days,Minimum_SPI,Drought_Level,Severity,Edge_Truncated,Reference_Search_Start,Reference_Search_End,Reference_Target_Days,Reference_Selected_Days,Event_MacroSD_Threshold,Event_CBI,Event_n_hours,Event_MacroSD,Event_Flag,Reference_CBI,Reference_n_hours,Reference_MacroSD,Reference_Flag,Delta_CBI,Pair_Flag,Event_ID_Robustness,Min_Daily_SPI
Hourly_state,Event_reference,BASE,95332235,4.0,2025-04-02,2025-04-21,20,-2.4802095890045166,Extreme,31.88193041086197,False,2025-04-23,2025-05-22,20,20,,0.9201740513931488,480,4.752995764594992,ok,0.6876368847446293,480,3.5451916684626874,ok,0.23253716664851953,ok,,
Hourly_state,Event_reference,BASE,95332236,4.0,2025-04-02,2025-04-23,22,-2.785902738571167,Extreme,34.75395089387894,False,2025-04-25,2025-05-24,22,22,,0.97598150589302,528,4.6801742136204485,ok,1.0987128307576457,528,3.6015559206946524,ok,-0.12273132486462568,ok,,
Hourly_state,Event_reference,BASE,95332236,5.0,2025-06-19,2025-07-19,31,-2.224727153778076,Extreme,35.36875170469284,False,2025-07-21,2025-08-19,30,10,,1.3533926823339437,744,2.883672730622036,ok,1.2645633931058209,240,2.7196433681698284,ok,0.08882928922812283,ok,,
Hourly_state,Event_reference,BASE,95332238,5.0,2025-06-21,2025-07-11,21,-2.096324920654297,Extreme,25.47362989187241,False,2025-07-13,2025-08-11,21,8,,0.6888805946080824,504,3.5254774191625695,ok,0.7267084365032388,192,2.4620264620827466,ok,-0.03782784189515642,ok,,
Hourly_state,Event_reference,BASE,95332239,6.0,2025-06-21,2025-07-11,21,-2.132532119750977,Extreme,30.06326115131378,False,2025-07-13,2025-08-11,21,16,,0.498954296994656,504,3.465326627274915,ok,0.5144665145211664,384,2.748993563492844,ok,-0.015512217526510441,ok,,
Hourly_state,Event_reference,BASE,95332242,6.0,2025-08-15,2025-09-12,29,-2.2075388431549072,Extreme,37.893301486968994,False,2025-09-14,2025-10-13,29,15,,0.5990928563127781,696,3.2799547319008493,ok,0.4968443641346614,360,3.492801438130223,ok,0.10224849217811671,ok,,
Hourly_state,Event_reference,BASE,95332243,6.0,2025-08-12,2025-09-12,32,-2.106205463409424,Extreme,45.79071301221848,False,2025-09-14,2025-10-13,30,28,,0.5389901682735735,768,3.2369210647118765,ok,0.4698824201292111,672,3.4340149091708114,ok,0.06910774814436238,ok,,
Hourly_state,Event_reference,BASE,95332244,2.0,2025-02-08,2025-03-02,23,-2.0202953815460205,Extreme,25.87126594781876,False,2025-03-04,2025-04-02,23,5,,0.7345576466865628,552,5.409595299478548,ok,0.6291750055900261,120,2.9286655853174226,ok,0.10538264109653661,ok,,
Hourly_state,Event_reference,BASE,95332244,3.0,2025-04-02,2025-04-18,17,-2.5941708087921143,Extreme,27.73067796230316,False,2025-04-20,2025-05-19,17,17,,0.8649037612512016,408,4.74000838343276,ok,0.5869984416818936,408,3.3924509037134634,ok,0.277905319569308,ok,,
Hourly_state,Event_reference,BASE,95332244,5.0,2025-06-20,2025-07-21,32,-2.0799567699432373,Extreme,43.28223639726639,False,2025-07-23,2025-08-21,30,14,,0.45504859219419685,768,2.9404427525623245,ok,0.45205902297848927,336,2.7893139852295157,ok,0.002989569215707588,ok,,
Hourly_state,Event_reference,E15,95332217,1.0,2025-01-01,2025-02-05,36,-1.7473512887954712,Severe,44.198160886764526,True,2025-02-07,2025-03-08,30,3,,0.710342061625819,408,4.945744886921313,ok,0.3692226372087817,72,3.763568145003354,ok,0.34111942441703735,ok,,
Hourly_state,Event_reference,E15,95332217,3.0,2025-04-02,2025-04-19,18,-2.2451560497283936,Extreme,28.20523184537888,False,2025-04-21,2025-05-20,18,18,,0.7395714029292012,432,4.675849625275155,ok,0.5549632330270037,432,3.4727131940050993,ok,0.18460816990219753,ok,,
Hourly_state,Event_reference,E15,95332217,4.0,2025-05-12,2025-07-08,58,-2.0193190574646,Extreme,63.29627174139023,False,2025-07-10,2025-08-08,30,5,,0.5730498209166532,1392,3.899570046565925,ok,0.40498667969936974,120,2.022002481155361,ok,0.1680631412172835,ok,,
Hourly_state,Event_reference,E15,95332218,4.0,2025-04-02,2025-04-23,22,-2.0132932662963867,Extreme,28.846669495105743,False,2025-04-25,2025-05-24,22,22,,0.801848689438064,528,4.702721798207631,ok,0.6181511943080942,528,3.687505895251103,ok,0.1836974951299698,ok,,
Hourly_state,Event_reference,E15,95332218,6.0,2025-06-22,2025-07-08,17,-1.750706672668457,Severe,20.17555576562881,False,2025-07-10,2025-08-08,17,5,,0.4658738742564411,408,3.269516960659545,ok,0.49592633525345825,120,1.8611513033764624,ok,-0.03005246099701714,ok,,
Hourly_state,Event_reference,E15,95332219,5.0,2025-04-02,2025-04-23,22,-2.3179261684417725,Extreme,32.18559658527374,False,2025-04-25,2025-05-24,22,22,,0.9580270488065812,528,4.623184564903906,ok,0.8597936625513316,528,3.5853480874208956,ok,0.09823338625524958,ok,,
Hourly_state,Event_reference,E15,95332219,7.0,2025-06-04,2025-07-10,37,-2.29106879234314,Extreme,41.840856432914734,False,2025-07-12,2025-08-10,30,8,,0.7150030465101354,888,3.124980499773649,ok,0.5719319602927121,192,2.3960576119039447,ok,0.14307108621742326,ok,,
Hourly_state,Event_reference,E15,95332220,2.0,2025-01-17,2025-02-05,20,-1.5705931186676023,Severe,20.888846337795258,False,2025-02-07,2025-03-08,20,1,,0.7828188759587225,408,5.238325304867988,ok,,24,,insufficient_hours,,event=ok;reference=insufficient_hours,,
