AnalysisLayer,EvidenceChain,Site_ID,YearMonth,Extreme,Normal,Delta_CBI,ScenarioID
Hourly_state,SiteMonth_CBI,95332217,2025-04,0.7316531667362092,0.7359620624340122,-0.004308895697803017,BASE
Hourly_state,SiteMonth_CBI,95332220,2025-04,0.7712544231136718,0.8690202228018031,-0.09776579968813137,BASE
Hourly_state,SiteMonth_CBI,95332221,2025-08,0.5854591507492887,0.6036826759237461,-0.018223525174457467,BASE
Hourly_state,SiteMonth_CBI,95332225,2025-08,1.0865459811473344,1.0577114671795032,0.02883451396783121,BASE
Hourly_state,SiteMonth_CBI,95332226,2025-09,0.3613920177025561,0.32999972463174526,0.03139229307081082,BASE
Hourly_state,SiteMonth_CBI,95332227,2025-08,0.4940577371966119,0.4966915769511073,-0.0026338397544954373,BASE
Hourly_state,SiteMonth_CBI,95332227,2025-09,0.4743797266232594,0.4579032920602133,0.016476434563046094,BASE
Hourly_state,SiteMonth_CBI,95332228,2025-08,0.8215326484452593,0.7216042162649055,0.09992843218035385,BASE
Hourly_state,SiteMonth_CBI,95332228,2025-09,0.8623524436916437,0.7737374589822099,0.08861498470943374,BASE
Hourly_state,SiteMonth_CBI,95332230,2025-08,0.8004844924107887,0.8162064555656877,-0.015721963154899044,BASE
Hourly_state,SiteMonth_CBI,95332230,2025-09,0.8381246702883624,0.6996295070892764,0.13849516319908595,BASE
Hourly_state,SiteMonth_CBI,95332231,2025-08,0.44178953714833064,0.4371477375880645,0.004641799560266113,BASE
Hourly_state,SiteMonth_CBI,95332235,2025-04,0.8957165365516356,0.7872179359193673,0.10849860063226835,BASE
Hourly_state,SiteMonth_CBI,95332236,2025-04,0.9584271586366331,1.0645085748929999,-0.1060814162563668,BASE
Hourly_state,SiteMonth_CBI,95332242,2025-09,0.6635965021534768,0.5295573605003283,0.13403914165314845,BASE
Hourly_state,SiteMonth_CBI,95332244,2025-04,0.8675404239533564,0.7348031704219812,0.13273725353137522,BASE
Hourly_state,SiteMonth_CBI,95332217,2025-04,0.7108230931123428,0.7359620624340122,-0.02513896932166937,E15
Hourly_state,SiteMonth_CBI,95332217,2025-07,0.48939517810509103,0.4320125973453763,0.05738258075971475,E15
Hourly_state,SiteMonth_CBI,95332218,2025-04,0.77640986165919,0.7476767591757293,0.028733102483460726,E15
Hourly_state,SiteMonth_CBI,95332219,2025-04,0.930113663925074,0.8589013293683732,0.07121233455670084,E15
Hourly_state,SiteMonth_CBI,95332219,2025-07,0.6939344392159282,0.5609785827344645,0.13295585648146369,E15
Hourly_state,SiteMonth_CBI,95332220,2025-04,0.8654114195179629,0.8690202228018031,-0.0036088032838402784,E15
Hourly_state,SiteMonth_CBI,95332221,2025-08,0.5998595270453243,0.6036826759237461,-0.0038231488784218337,E15
Hourly_state,SiteMonth_CBI,95332222,2025-06,1.0942331006771076,0.972041696124396,0.1221914045527116,E15
Hourly_state,SiteMonth_CBI,95332222,2025-08,1.0972045346987895,1.038454250770621,0.05875028392816861,E15
Hourly_state,SiteMonth_CBI,95332223,2025-06,0.7075885284198385,0.7164104873545728,-0.008821958934734253,E15
Hourly_state,SiteMonth_CBI,95332223,2025-08,0.5566752762030606,0.5199428586962502,0.03673241750681033,E15
Hourly_state,SiteMonth_CBI,95332225,2025-08,1.0284990444033864,1.0577114671795032,-0.029212422776116798,E15
Hourly_state,SiteMonth_CBI,95332225,2025-09,1.090478522504887,0.987599334999343,0.10287918750554392,E15
