AnalysisLayer,EvidenceChain,ScenarioID,ScenarioGroup,ScenarioDescription,id,group,description,extreme_threshold,normal_low,normal_high,min_status_hours,min_cbi_hours,min_event_hours,min_reference_hours,min_macro_sd,apply_event_macro_sd,all_hourly_rows,all_sites,all_sitemonths,extreme_hours,normal_hours,other_hours,extreme_days,normal_days,extreme_sites,normal_sites,candidate_sitemonths,eligible_sitemonths_before_macro_sd,lmm_hours,lmm_sites,lmm_sitemonths,lmm_extreme_hours,lmm_normal_hours,identified_extreme_events,events_with_potential_normal_reference_days,potential_reference_days_total,SparseSampleFlag,LMM_Delta_CBI,LMM_CI_low95,LMM_CI_high95,LMM_Pvalue,LMM_CBI_Normal_weighted,LMM_CBI_Extreme_weighted,LMM_Converged,LMM_Flag,SiteMonth_Delta_Mean,SiteMonth_Delta_Median,SiteMonth_N_pairs,SiteMonth_N_sites,SiteMonth_Flag,Event_Delta_Mean,Event_CI_low95,Event_CI_high95,Event_P_two_sided,Event_N_sites,Event_N_pairs,Event_Flag,EventSparseFlag,event_threshold,min_duration_days,identified_events,identified_sites,extreme_events,extreme_event_sites,edge_truncated_extreme_events,SameDirectionAsBaseline,SameDirectionAsEventBase
Hourly_state,Hourly_state,H48,Minimum_hours,H48：最低小时门槛改为 48 小时；用于检验放宽样本小时要求后的稳健性,H48,Minimum_hours,H48：最低小时门槛改为 48 小时；用于检验放宽样本小时要求后的稳健性,-2.0,-0.5,0.5,48.0,48.0,72,72,1.0,False,223992.0,27.0,324.0,2952.0,95264.0,125776.0,32.0,297.0,20.0,27.0,294.0,21.0,8136.0,15.0,21.0,2640.0,5496.0,27.0,27,505,yes,0.03311308960866557,0.014327021930818685,0.051899157286512454,0.0005508798845948027,0.7123684512323073,0.7454815408409728,True,ok,0.04978654728259467,0.03139229307081082,21.0,15.0,ok,0.05711394910491151,0.018815153628805207,0.0939425342439352,0.005,20,27,ok,no,,,,,,,,True,
Hourly_state,Hourly_state,H120,Minimum_hours,H120：最低小时门槛改为 120 小时；用于检验收紧样本小时要求后的稳健性,H120,Minimum_hours,H120：最低小时门槛改为 120 小时；用于检验收紧样本小时要求后的稳健性,-2.0,-0.5,0.5,120.0,120.0,72,72,1.0,False,223992.0,27.0,324.0,2952.0,95264.0,125776.0,32.0,297.0,20.0,27.0,294.0,11.0,4704.0,9.0,11.0,1992.0,2712.0,27.0,27,505,yes,0.030730891269841704,0.007013226121682009,0.0544485564180014,0.011100529908806297,0.7988733729691359,0.8296042642389776,True,ok,0.027132589411115002,0.016476434563046094,11.0,9.0,ok,0.05711394910491151,0.018815153628805207,0.0939425342439352,0.005,20,27,ok,no,,,,,,,,True,
Hourly_state,Hourly_state,H168,Minimum_hours,H168：最低小时门槛改为 168 小时；用于检验更严格样本门槛下的稳健性,H168,Minimum_hours,H168：最低小时门槛改为 168 小时；用于检验更严格样本门槛下的稳健性,-2.0,-0.5,0.5,168.0,168.0,72,72,1.0,False,223992.0,27.0,324.0,2952.0,95264.0,125776.0,32.0,297.0,20.0,27.0,294.0,7.0,3288.0,7.0,7.0,1488.0,1800.0,27.0,27,505,yes,0.019090331319845097,-0.008730836035129027,0.046911498674819224,0.17866131642404048,0.8222194960490562,0.8413098273689013,True,ok,0.016755173078113885,-0.004308895697803017,7.0,7.0,ok,0.05711394910491151,0.018815153628805207,0.0939425342439352,0.005,20,27,ok,no,,,,,,,,True,
Hourly_state,Hourly_state,M05,MacroSD_CBI_only,M05：CBI 的 MacroSD 门槛改为 0.5 ℃；用于检验放宽宏气候波动要求后的稳健性,M05,MacroSD_CBI_only,M05：CBI 的 MacroSD 门槛改为 0.5 ℃；用于检验放宽宏气候波动要求后的稳健性,-2.0,-0.5,0.5,72.0,72.0,72,72,0.5,True,223992.0,27.0,324.0,2952.0,95264.0,125776.0,32.0,297.0,20.0,27.0,294.0,16.0,6384.0,13.0,16.0,2400.0,3984.0,27.0,27,505,yes,0.033288902415292865,0.013506689378142797,0.05307111545244293,0.0009731810264060805,0.7002010807415744,0.7334899831568673,True,ok,0.033682698583841666,0.022655474265438652,16.0,13.0,ok,0.05711394910491151,0.018815153628805207,0.0939425342439352,0.005,20,27,ok,no,,,,,,,,True,
Hourly_state,Hourly_state,M075,MacroSD_CBI_only,M075：CBI 的 MacroSD 门槛改为 0.75 ℃；用于检验略微放宽宏气候波动要求后的稳健性,M075,MacroSD_CBI_only,M075：CBI 的 MacroSD 门槛改为 0.75 ℃；用于检验略微放宽宏气候波动要求后的稳健性,-2.0,-0.5,0.5,72.0,72.0,72,72,0.75,True,223992.0,27.0,324.0,2952.0,95264.0,125776.0,32.0,297.0,20.0,27.0,294.0,16.0,6384.0,13.0,16.0,2400.0,3984.0,27.0,27,505,yes,0.033288902415292865,0.013506689378142797,0.05307111545244293,0.0009731810264060805,0.7002010807415744,0.7334899831568673,True,ok,0.033682698583841666,0.022655474265438652,16.0,13.0,ok,0.05711394910491151,0.018815153628805207,0.0939425342439352,0.005,20,27,ok,no,,,,,,,,True,
Hourly_state,Hourly_state,M15,MacroSD_CBI_only,M15：CBI 的 MacroSD 门槛改为 1.5 ℃；用于检验收紧宏气候波动要求后的稳健性,M15,MacroSD_CBI_only,M15：CBI 的 MacroSD 门槛改为 1.5 ℃；用于检验收紧宏气候波动要求后的稳健性,-2.0,-0.5,0.5,72.0,72.0,72,72,1.5,True,223992.0,27.0,324.0,2952.0,95264.0,125776.0,32.0,297.0,20.0,27.0,294.0,16.0,6384.0,13.0,16.0,2400.0,3984.0,27.0,27,505,yes,0.033288902415292865,0.013506689378142797,0.05307111545244293,0.0009731810264060805,0.7002010807415744,0.7334899831568673,True,ok,0.033682698583841666,0.022655474265438652,16.0,13.0,ok,0.05711394910491151,0.018815153628805207,0.0939425342439352,0.005,20,27,ok,no,,,,,,,,True,
Event_definition,Event_definition,BASE,Baseline,基准事件定义：事件 SPI <= -0.5，至少6天；完整事件内最低 SPI <= -2.0,BASE,Baseline,基准事件定义：事件 SPI <= -0.5，至少6天；完整事件内最低 SPI <= -2.0,-2.0,-0.5,0.5,,,72,72,,,,,,,,,,,,,,,,,,,,,27,505,,,,,,,,,,,,,,,0.05711394910491151,0.018815153628805207,0.0939425342439352,0.005,20,27,ok,no,-0.5,6.0,197.0,27.0,27.0,20.0,0.0,,
Event_definition,Event_definition,D05,Minimum_duration,D05：事件 SPI <= -0.5，至少5天；检验纳入较短事件后的稳健性,D05,Minimum_duration,D05：事件 SPI <= -0.5，至少5天；检验纳入较短事件后的稳健性,-2.0,-0.5,0.5,,,72,72,,,,,,,,,,,,,,,,,,,,,27,505,,,,,,,,,,,,,,,0.05711394910491151,0.018815153628805207,0.0939425342439352,0.005,20,27,ok,no,-0.5,5.0,213.0,27.0,27.0,20.0,0.0,,True
Event_definition,Event_definition,D10,Minimum_duration,D10：事件 SPI <= -0.5，至少10天；检验仅保留较长事件后的稳健性,D10,Minimum_duration,D10：事件 SPI <= -0.5，至少10天；检验仅保留较长事件后的稳健性,-2.0,-0.5,0.5,,,72,72,,,,,,,,,,,,,,,,,,,,,27,505,,,,,,,,,,,,,,,0.05711394910491151,0.018815153628805207,0.0939425342439352,0.005,20,27,ok,no,-0.5,10.0,133.0,27.0,27.0,20.0,0.0,,True
Event_definition,Event_definition,B00,Event_boundary,B00：事件 SPI <= 0.0，至少6天；检验较宽事件边界后的稳健性,B00,Event_boundary,B00：事件 SPI <= 0.0，至少6天；检验较宽事件边界后的稳健性,-2.0,-0.5,0.5,,,72,72,,,,,,,,,,,,,,,,,,,,,27,443,,,,,,,,,,,,,,,0.03409616422659284,-0.010147645726252078,0.07452181247913357,0.139,20,26,ok,no,0.0,6.0,194.0,27.0,27.0,20.0,3.0,,True
Event_definition,Event_definition,B10,Event_boundary,B10：事件 SPI <= -1.0，至少6天；检验较严事件边界后的稳健性,B10,Event_boundary,B10：事件 SPI <= -1.0，至少6天；检验较严事件边界后的稳健性,-2.0,-0.5,0.5,,,72,72,,,,,,,,,,,,,,,,,,,,,27,466,,,,,,,,,,,,,,,0.05825028283912074,0.022598070084897125,0.09386268119974032,0.0,20,27,ok,no,-1.0,6.0,133.0,27.0,27.0,20.0,0.0,,True
