AnalysisLayer,EvidenceChain,ScenarioID,ScenarioGroup,Site_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Severity,Drought_Level,Edge_Truncated,Is_Extreme_Event,Event_ID_Robustness
Event_definition,Event_definition,BASE,Baseline,95332221,2025-08-12,2025-09-09,29,-2.27681040763855,-0.8329434990882874,2025-08-27,38.69769525527954,Extreme,False,True,7
Event_definition,Event_definition,BASE,Baseline,95332221,2025-12-10,2025-12-31,22,-1.554109215736389,-0.724697470664978,2025-12-30,24.042314529418945,Severe,True,False,8
Event_definition,Event_definition,BASE,Baseline,95332222,2025-01-01,2025-02-05,36,-1.639452695846558,-0.7881618142127991,2025-02-01,39.54259365797043,Severe,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332222,2025-02-07,2025-02-21,15,-0.8926356434822083,-0.559689462184906,2025-02-19,11.660811126232147,Light,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332222,2025-02-23,2025-03-02,8,-1.112694621086121,-0.5830841660499573,2025-03-01,7.387253463268281,Moderate,False,False,3
Event_definition,Event_definition,BASE,Baseline,95332222,2025-04-03,2025-04-08,6,-0.9142223596572876,-0.7062352895736694,2025-04-03,4.6740259528160095,Light,False,False,4
Event_definition,Event_definition,BASE,Baseline,95332222,2025-04-13,2025-04-18,6,-0.9303781390190125,-0.604155957698822,2025-04-13,4.842272579669952,Light,False,False,5
Event_definition,Event_definition,BASE,Baseline,95332222,2025-06-21,2025-07-12,22,-1.722792267799377,-0.5130136013031006,2025-06-27,24.143233060836792,Severe,False,False,6
Event_definition,Event_definition,BASE,Baseline,95332222,2025-08-12,2025-09-11,31,-1.799241423606873,-0.5003818273544312,2025-08-27,34.895619094371796,Severe,False,False,7
Event_definition,Event_definition,BASE,Baseline,95332222,2025-12-10,2025-12-31,22,-1.572381734848022,-0.6887859106063843,2025-12-30,23.634492456912994,Severe,True,False,8
Event_definition,Event_definition,BASE,Baseline,95332223,2025-01-01,2025-02-05,36,-1.563310623168945,-0.8207867741584778,2025-01-06,41.27206212282181,Severe,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332223,2025-02-08,2025-02-21,14,-0.8832201361656189,-0.5954778790473938,2025-02-19,9.600279092788696,Light,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332223,2025-02-23,2025-03-02,8,-1.141827344894409,-0.6507255434989929,2025-03-01,7.7368446588516235,Moderate,False,False,3
Event_definition,Event_definition,BASE,Baseline,95332223,2025-04-02,2025-04-08,7,-1.337850570678711,-0.8473034501075745,2025-04-02,7.595399856567384,Moderate,False,False,4
Event_definition,Event_definition,BASE,Baseline,95332223,2025-04-13,2025-04-18,6,-0.7823346853256226,-0.6376651525497437,2025-04-13,4.18330979347229,Light,False,False,5
Event_definition,Event_definition,BASE,Baseline,95332223,2025-06-18,2025-07-12,25,-1.743588924407959,-0.5176485776901245,2025-06-27,25.719527900218964,Severe,False,False,6
Event_definition,Event_definition,BASE,Baseline,95332223,2025-08-15,2025-09-12,29,-1.629189729690552,-0.5200998783111572,2025-08-27,30.679704070091248,Severe,False,False,7
Event_definition,Event_definition,BASE,Baseline,95332223,2025-12-10,2025-12-19,10,-0.9572739005088806,-0.6344360113143921,2025-12-10,7.670641839504242,Light,False,False,8
Event_definition,Event_definition,BASE,Baseline,95332223,2025-12-22,2025-12-31,10,-1.555150985717773,-0.5387606620788574,2025-12-30,8.206154108047485,Severe,True,False,9
Event_definition,Event_definition,BASE,Baseline,95332224,2025-01-01,2025-02-21,52,-1.557673335075378,-0.5888458490371704,2025-01-31,53.34167152643204,Severe,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332224,2025-02-23,2025-03-02,8,-1.238792896270752,-0.6624208688735962,2025-03-01,8.11461317539215,Moderate,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332224,2025-04-03,2025-04-08,6,-1.17630934715271,-0.6457729339599609,2025-04-03,5.147591412067413,Moderate,False,False,3
Event_definition,Event_definition,BASE,Baseline,95332224,2025-04-13,2025-04-18,6,-0.7634198665618896,-0.6767705678939819,2025-04-17,4.411282777786255,Light,False,False,4
Event_definition,Event_definition,BASE,Baseline,95332224,2025-06-21,2025-07-12,22,-1.565237283706665,-0.6305559277534485,2025-06-27,24.631660521030426,Severe,False,False,5
Event_definition,Event_definition,BASE,Baseline,95332224,2025-08-15,2025-08-22,8,-0.8505577445030212,-0.5239807367324829,2025-08-16,5.718534767627716,Light,False,False,6
Event_definition,Event_definition,BASE,Baseline,95332224,2025-08-25,2025-09-12,19,-1.529786705970764,-0.5927960276603699,2025-08-27,21.86993056535721,Severe,False,False,7
Event_definition,Event_definition,BASE,Baseline,95332224,2025-12-11,2025-12-31,21,-1.555573105812073,-0.7016881704330444,2025-12-30,21.027605533599854,Severe,True,False,8
Event_definition,Event_definition,BASE,Baseline,95332225,2025-01-01,2025-02-05,36,-1.803107976913452,-0.7100303769111633,2025-01-07,48.9773890376091,Severe,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332225,2025-02-09,2025-02-19,11,-0.6715368628501892,-0.5073302388191223,2025-02-19,6.483463764190674,Light,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332225,2025-02-24,2025-03-02,7,-0.9977991580963135,-0.8744008541107178,2025-02-25,6.634891748428345,Light,False,False,3
Event_definition,Event_definition,BASE,Baseline,95332225,2025-04-13,2025-04-21,9,-1.176034092903137,-0.6052693724632263,2025-04-13,8.62975949048996,Moderate,False,False,4
Event_definition,Event_definition,BASE,Baseline,95332225,2025-05-11,2025-05-16,6,-0.9887043237686157,-0.532088577747345,2025-05-12,4.781651794910431,Light,False,False,5
Event_definition,Event_definition,BASE,Baseline,95332225,2025-06-26,2025-07-12,17,-1.230494976043701,-0.554946780204773,2025-06-28,15.965554416179657,Moderate,False,False,6
Event_definition,Event_definition,BASE,Baseline,95332225,2025-08-12,2025-09-23,43,-2.157047986984253,-0.5694388747215271,2025-08-29,59.29728865623474,Extreme,False,True,7
Event_definition,Event_definition,BASE,Baseline,95332225,2025-12-04,2025-12-31,28,-1.487053394317627,-0.5498426556587219,2025-12-04,26.466029703617096,Moderate,True,False,8
Event_definition,Event_definition,BASE,Baseline,95332226,2025-01-01,2025-03-02,61,-1.866592884063721,-0.5645067691802979,2025-01-31,69.3838409781456,Severe,True,False,1
Event_definition,Event_definition,BASE,Baseline,95332226,2025-04-02,2025-04-08,7,-0.7456499338150024,-0.5380701422691345,2025-04-03,4.058578372001648,Light,False,False,2
Event_definition,Event_definition,BASE,Baseline,95332226,2025-04-13,2025-04-20,8,-1.357728481292725,-0.58286452293396,2025-04-13,8.821480810642242,Moderate,False,False,3
